Control Signal 1,Control Signal 2,PID Speed Control,Motor Speed 1,Motor Speed 2
1500.0,1500.0,0.0,100,100
999.1000000000001,999.4,-0.11399999999993952,100,100
993.7,992.4000000000001,0.4999999999999795,100,100
990.2,989.4000000000001,0.2539999999999964,100,100
988.1000000000001,986.7,0.5960000000000445,100,100
984.6,982.8000000000001,0.7999999999999864,100,100
982.0000000000001,980.1,0.9420000000000482,100,100
978.6,976.5,1.160000000000016,100,100
975.7,972.8000000000001,1.6120000000000074,100,100
972.1,969.5,1.6500000000000274,100,100
969.9000000000001,966.7,2.1160000000000334,100,100
967.0000000000001,963.4,2.464000000000069,100,100
964.2,960.5,2.7500000000000364,100,100
960.8000000000001,956.3000000000001,3.340000000000032,100,100
957.9000000000001,953.1,3.7340000000000626,100,100
954.3,948.8000000000001,4.353999999999992,100,100
951.8000000000001,946.0,4.83800000000007,100,100
949.3000000000001,943.4000000000001,5.310000000000023,100,100
946.4000000000001,940.0,5.9620000000000735,100,100
943.3000000000001,937.1,6.348000000000051,100,100
940.9000000000001,933.5,7.3200000000000776,100,100
938.3000000000001,931.0000000000001,7.754000000000028,100,100
935.4000000000001,927.9000000000001,8.424000000000056,100,100
931.7,924.0000000000001,9.080000000000025,100,100
928.6,920.7,9.752000000000043,100,100
926.3000000000001,917.9000000000001,10.55400000000004,100,100
923.4000000000001,914.6,11.32800000000007,100,100
920.6,911.4,12.144000000000057,100,100
917.8000000000001,907.6000000000001,13.220000000000022,100,100
914.7,904.9000000000001,13.784000000000036,100,100
911.1,900.7,14.836000000000038,100,100
909.5,898.7,15.760000000000025,100,100
905.2,894.0,16.736000000000057,100,100
903.1000000000001,891.2,17.858000000000068,100,100
899.6,887.1,18.96800000000004,100,100
897.0000000000001,884.2,20.022000000000073,100,100
893.9000000000001,880.7,21.168000000000063,100,100
890.9000000000001,878.2,21.99400000000007,100,100
888.5000000000001,875.1,23.32600000000009,100,100
885.0,870.6,24.708000000000048,100,100
882.4000000000001,867.8000000000001,25.836000000000077,100,100
879.0,864.0000000000001,27.136000000000024,100,100
875.8000000000001,860.4000000000001,28.44800000000006,100,100
872.9000000000001,857.1,29.792000000000087,100,100
870.5000000000001,854.6,31.054000000000087,100,100
867.0,850.6000000000001,32.50600000000001,100,100
864.4000000000001,847.9000000000001,33.80600000000007,100,100
860.7,843.4000000000001,35.420000000000044,100,100
857.6,840.0000000000001,36.83800000000002,100,100
855.0000000000001,837.0,38.3680000000001,100,100
852.8,834.4000000000001,39.919999999999995,100,100
849.5,830.7,41.50400000000004,100,100
845.9,827.3,42.89200000000005,100,100
843.1,824.5,44.400000000000055,100,100
839.5,820.6000000000001,46.001999999999995,100,100
837.6,817.9000000000001,47.78800000000002,100,100
834.0,814.9000000000001,49.056,100,100
830.8000000000001,810.7,51.024000000000036,100,100
828.2,807.2,52.874000000000024,100,100
824.5,803.3000000000001,54.540000000000006,100,100
821.7,800.4,56.25400000000005,100,100
818.4,796.6000000000001,58.137999999999955,100,100
815.8000000000001,793.3,60.09800000000007,100,100
812.1,789.3000000000001,61.94199999999999,100,100
809.3000000000001,786.1,63.888000000000034,100,100
806.0,782.7,65.742,100,100
803.1,779.3,67.78600000000004,100,100
800.7,776.2,69.90600000000002,100,100
797.5,772.7,71.91000000000001,100,100
794.5,769.3,74.01600000000003,100,100
791.2,765.3000000000001,76.25800000000001,100,100
787.4000000000001,761.5000000000001,78.26000000000002,100,100
784.7,758.0000000000001,80.636,100,100
781.4,754.1,82.92,100,100
777.9,750.6000000000001,85.04399999999995,100,100
775.4000000000001,747.0000000000001,87.646,100,100
773.2,744.9000000000001,89.77,100,100
769.3,739.9,92.462,100,100
765.3000000000001,736.3000000000001,94.55200000000002,100,100
763.3000000000001,733.4,97.25400000000003,100,100
759.5,729.6000000000001,99.55599999999995,100,100
757.0000000000001,726.9000000000001,102.02400000000004,100,100
752.7,721.8,104.71600000000005,100,100
749.8000000000001,718.0,107.45000000000006,100,100
746.6,714.9,109.86600000000004,100,100
743.7,711.2,112.71600000000004,100,100
740.4,707.9,115.23600000000005,100,100
737.8000000000001,704.8000000000001,118.02600000000004,100,100
734.1,700.7,120.76800000000001,100,100
