Encoder 1,Encoder 2,Control Signal 1,Control Signal 2,PID Speed Control,Motor Speed 1,Motor Speed 2
0,0,510.0,510.0,0.0,100,100
15,18,10.0,10.0,0.0,30.0,30.0
31,37,8.368,8.062,0.03151800000000046,28.336482,28.093518
44,53,8.03,7.616,0.012347999999999708,28.017652000000002,27.628348
58,69,8.298,7.978,-0.007720000000000113,28.30572,27.970280000000002
77,91,8.368,8.143999999999998,-0.007887999999999637,28.375888000000003,28.136111999999997
87,104,8.338000000000001,8.008,0.012853999999999827,28.325146,28.020854
104,122,8.818,8.584,-0.007304000000000359,28.825304,28.576696
117,136,7.676,7.744,-0.028575999999999588,27.704576000000003,27.715424
138,158,8.45,8.112,0.04337399999999953,28.406626,28.155374000000002
149,171,8.118,7.978000000000001,-0.017281999999999673,28.135282,27.960718000000004
163,186,8.29,8.046000000000001,0.01336999999999993,28.27663,28.059369999999998
177,203,8.363999999999999,8.218,-0.006880000000000251,28.370879999999996,28.21112
199,226,7.930000000000001,7.577999999999999,0.024284000000000316,27.905715999999998,27.602284
218,245,7.488000000000001,7.436,-0.026864000000000065,27.514864,27.409136
236,262,7.956000000000001,7.8020000000000005,0.013694000000000406,27.942306000000002,27.815694
251,276,7.618,7.666000000000001,-0.01715800000000016,27.635158,27.648842000000002
261,288,8.09,8.139999999999999,0.002787999999999766,28.087212,28.142788
282,311,8.164,8.113999999999999,0.013238000000000522,28.150762,28.127238
293,321,7.628000000000001,7.272,0.03480599999999976,27.593194,27.306805999999998
305,338,8.306000000000001,8.046,-0.005325999999999987,28.311326,28.040674
320,354,7.774000000000001,7.510000000000001,0.004945999999999796,27.769054,27.514946000000002
336,376,8.252,7.882,0.015728000000000554,28.236272000000003,27.897727999999997
353,391,7.311999999999999,6.834,0.016621999999999363,27.295378,26.850621999999998
371,409,7.986,7.908,-0.03489999999999984,28.0209,27.8731
383,422,7.756,7.779999999999999,-0.005328000000000014,27.761328,27.774672000000002
395,434,7.6240000000000006,7.548,0.015148000000000165,27.608852000000002,27.563148
412,453,8.204,7.822,0.03674200000000012,28.167258,27.858742
418,462,7.47,7.2860000000000005,-0.013870000000000382,27.48387,27.27213
432,475,8.15,7.861999999999999,0.0168260000000003,28.133173999999997,27.878826
446,492,8.028,8.042,-0.024392000000000306,28.052391999999998,28.017608000000003
460,506,7.1899999999999995,6.797999999999999,0.04761200000000025,27.142387999999997,26.845612
476,526,7.8660000000000005,7.57,-0.0024839999999999958,27.868484,27.567516
492,547,7.740000000000001,7.236,0.028836000000000216,27.711164,27.264836000000003
507,564,7.306,6.7940000000000005,0.00936399999999993,27.296636,26.803364000000002
518,576,7.577999999999999,7.364000000000001,-0.021618000000000172,27.599618,27.342382
531,593,7.652,7.436,0.008602000000000264,27.643398,27.444602
547,611,7.728000000000001,7.101999999999999,0.05084800000000004,27.677152000000003,27.152848
561,627,7.194,7.0680000000000005,-0.04102600000000035,27.235025999999998,27.026974000000003
