Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
0,0,0,0,0.0,0,15.0,15.0
0,0,0,0,0.0,0,15.0,15.0
2,2,2,2,0.0,0,15.0,15.0
9,8,9,8,0.0,0,15.0,15.0
13,12,12,11,0.9001,1,14.0999,15.9001
22,20,21,20,0.8002,1,14.1998,15.8002
27,25,27,26,-0.0998,0,15.0998,14.9002
31,29,31,31,0.0002,0,14.9998,15.0002
36,33,37,36,-1.8,-2,16.8,13.2
41,40,43,42,-0.7001000000000001,-1,15.7001,14.2999
52,51,53,52,-1.7003000000000001,-2,16.7003,13.2997
61,59,63,60,0.19970000000000002,0,14.8003,15.1997
66,66,70,66,-1.8005,-2,16.8005,13.1995
70,70,74,70,-3.4009000000000005,-4,18.4009,11.5991
78,78,81,78,-3.2013000000000003,-4,18.2013,11.7987
86,89,90,87,-2.3016,-3,17.3016,12.6984
94,98,96,93,-3.302,-4,18.302,11.698
104,109,105,104,-1.4022000000000001,-2,16.4022,13.5978
111,117,111,111,0.1978,0,14.8022,15.1978
122,128,121,120,0.8979,1,14.1021,15.8979
130,137,127,126,1.6981000000000002,2,13.3019,16.6981
139,148,136,136,1.5983,2,13.4017,16.598300000000002
146,155,143,144,2.4986000000000006,3,12.5014,17.4986
154,164,153,152,3.2990000000000004,4,11.701,18.299
165,174,162,161,1.3992000000000002,2,13.6008,16.3992
174,181,170,169,2.4995000000000003,3,12.500499999999999,17.4995
182,190,177,177,3.2999,4,11.700099999999999,18.2999
187,197,186,185,3.2003000000000004,4,11.7997,18.2003
196,206,197,194,0.5004,1,14.499600000000001,15.500399999999999
205,214,206,204,-0.9997,-1,15.9997,14.0003
213,223,215,213,-1.6999000000000002,-2,16.6999,13.3001
222,231,223,222,-2.5002000000000004,-3,17.5002,12.4998
230,241,231,232,-1.5004,-2,16.5004,13.499600000000001
236,249,238,239,-0.7005,-1,15.7005,14.2995
244,257,245,246,-2.6008000000000004,-3,17.6008,12.3992
250,266,253,254,-0.6009,-1,15.6009,14.3991
256,271,258,259,-2.6012000000000004,-3,17.6012,12.3988
262,277,264,266,-2.4015000000000004,-3,17.4015,12.5985
266,282,268,270,-0.6016000000000001,-1,15.6016,14.3984
275,290,274,277,0.0984,0,14.9016,15.0984
278,294,277,281,0.8985000000000001,1,14.1015,15.8985
283,301,282,287,1.6987,2,13.3013,16.6987
291,311,291,297,-0.2013,0,15.2013,14.7987
298,319,299,304,-1.8015,-2,16.8015,13.1985
307,328,307,310,-1.6017000000000001,-2,16.6017,13.398299999999999
316,337,316,318,1.0984,1,13.9016,16.0984
324,345,323,325,0.7985000000000001,1,14.2015,15.7985
334,356,333,334,0.7986000000000001,1,14.2014,15.7986
342,365,340,341,1.6988,2,13.3012,16.6988
351,374,348,349,1.5990000000000002,2,13.401,16.599
357,380,356,356,1.5992000000000002,2,13.4008,16.5992
369,391,368,367,0.6993,1,14.300699999999999,15.699300000000001
376,397,375,373,-0.10070000000000001,0,15.1007,14.8993
385,409,386,382,0.8994,1,14.1006,15.8994
394,419,397,391,-3.701,-4,18.701,11.299
398,425,404,396,-4.1015,-5,19.1015,10.8985
408,433,412,404,-4.002,-5,19.002,10.998000000000001
416,442,420,413,-4.0025,-5,19.0025,10.997499999999999
422,449,427,419,-4.9031,-6,19.903100000000002,10.0969
432,459,438,432,-3.0035,-4,18.0035,11.996500000000001
441,470,445,441,-3.2039,-4,18.2039,11.7961
449,476,449,445,-1.4041000000000001,-2,16.4041,13.5959
456,484,456,452,0.19590000000000002,0,14.8041,15.1959
463,491,461,457,0.896,1,14.104,15.896
471,501,471,465,1.6962000000000002,2,13.303799999999999,16.6962
479,508,478,472,-1.1039,-1,16.1039,13.8961
487,517,486,480,0.9962,1,14.0038,15.9962
495,524,493,487,-1.0039,-1,16.0039,13.9961
503,533,503,495,0.9962,1,14.0038,15.9962
510,539,508,501,-0.1038,0,15.1038,14.8962
516,546,516,508,1.7964,2,13.2036,16.7964
522,554,522,513,-0.2036,0,15.2036,14.7964
531,565,529,522,1.7966,2,13.2034,16.7966
540,574,538,530,2.4969000000000006,3,12.5031,17.4969
555,588,551,542,3.2973000000000003,4,11.7027,18.2973
565,600,562,551,4.097799999999999,5,10.9022,19.0978
573,610,573,560,-0.5022,0,15.5022,14.4978
580,616,580,567,-0.9023,-1,15.9023,14.0977
585,622,586,574,0.09770000000000001,0,14.9023,15.0977
591,629,593,580,-0.9024,-1,15.9024,14.0976
598,637,602,587,-1.7026000000000001,-2,16.7026,13.2974
605,644,610,595,-3.4030000000000005,-4,18.403,11.597
611,653,618,602,-5.0036000000000005,-6,20.0036,9.9964
620,663,628,610,-6.604400000000001,-8,21.604400000000002,8.395599999999998
627,668,632,614,-5.5051000000000005,-7,20.5051,9.4949
636,680,637,618,-2.9055,-4,17.9055,12.0945
647,695,648,629,0.3945,0,14.6055,15.3945
655,705,654,637,0.8946000000000001,1,14.1054,15.8946
665,716,661,646,2.5949000000000004,3,12.4051,17.5949
673,725,670,653,2.3952000000000004,3,12.6048,17.3952
682,733,679,660,2.3955,3,12.6045,17.3955
690,741,686,667,2.3958000000000004,3,12.604199999999999,17.3958
700,752,697,676,2.3961000000000006,3,12.6039,17.3961
706,759,703,680,2.3964000000000003,3,12.6036,17.3964
712,766,710,686,2.3967000000000005,3,12.603299999999999,17.3967
716,770,713,690,1.4969,2,13.5031,16.4969
721,776,719,695,0.6970000000000001,1,14.303,15.697
730,786,729,709,1.6972000000000003,2,13.3028,16.6972
741,796,743,719,-1.1029,-1,16.102899999999998,13.8971
749,804,751,728,-1.7031000000000003,-2,16.7031,13.296899999999999
757,814,761,737,-2.5034000000000005,-3,17.5034,12.496599999999999
764,821,769,744,-4.2039,-5,19.2039,10.7961
773,830,777,753,-4.9045000000000005,-6,19.9045,10.0955
782,837,786,762,-3.0049,-4,18.0049,11.9951
789,847,793,768,-3.2053000000000003,-4,18.2053,11.794699999999999
798,855,800,774,-3.2057,-4,18.2057,11.7943
809,867,811,783,-2.306,-3,17.306,12.693999999999999
817,875,816,788,0.29400000000000004,0,14.706,15.294
828,889,829,799,-0.9061,-1,15.9061,14.0939
839,901,841,809,-0.8062,-1,15.8062,14.1938
848,908,848,817,-1.7064000000000001,-2,16.7064,13.2936
858,919,858,827,-1.6066,-2,16.6066,13.3934
867,928,865,835,0.19340000000000002,0,14.8066,15.1934
874,935,871,841,0.8935000000000001,1,14.1065,15.8935
881,944,877,847,3.4939,4,11.5061,18.4939
889,950,883,852,3.1943,4,11.8057,18.1943
897,958,892,861,4.994900000000001,6,10.005099999999999,19.9949
903,967,899,868,2.9953,4,12.0047,17.9953
908,973,905,875,2.2956000000000003,3,12.7044,17.2956
916,981,915,884,0.5957000000000001,1,14.4043,15.5957
922,988,924,893,-1.9045,-2,16.9045,13.0955
927,994,931,900,-3.4049000000000005,-4,18.4049,11.595099999999999
938,1005,943,912,-5.0055000000000005,-6,20.0055,9.994499999999999
945,1011,950,917,-4.806100000000001,-6,19.8061,10.1939
952,1019,956,924,-3.0065,-4,18.0065,11.993500000000001
961,1029,964,932,-2.3068000000000004,-3,17.3068,12.6932
971,1040,973,940,-0.6069,-1,15.6069,14.3931
978,1047,977,945,0.0931,0,14.9069,15.0931
986,1054,984,952,0.8932,1,14.1068,15.8932
995,1065,995,962,-0.1068,0,15.1068,14.8932
998,1071,999,966,-0.0068000000000000005,0,15.0068,14.9932
1007,1079,1007,973,0.8933,1,14.1067,15.8933
