Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
0,0,0,0,0.0,0,15.0,15.0
0,1,1,1,-0.30010000000000003,-1,15.3001,14.6999
3,3,2,3,0.0999,0,14.9001,15.0999
7,7,6,7,0.30000000000000004,1,14.7,15.3
10,12,9,9,0.5002,2,14.4998,15.5002
18,21,15,16,0.40040000000000003,2,14.5996,15.4004
26,30,24,23,0.4006,2,14.5994,15.4006
32,38,31,32,0.10070000000000001,1,14.8993,15.1007
39,46,38,38,0.5009,2,14.4991,15.5009
47,53,48,46,-0.4992000000000001,-1,15.4992,14.5008
55,62,56,53,0.1008,0,14.8992,15.1008
62,69,63,58,0.0008,0,14.9992,15.0008
70,77,70,65,-0.2993,-1,15.2993,14.7007
81,88,79,73,0.7009000000000001,2,14.2991,15.7009
88,98,89,83,0.101,1,14.899,15.101
95,106,97,94,-0.6992,-2,15.6992,14.3008
101,114,104,102,-0.39940000000000003,-2,15.3994,14.6006
110,123,112,110,-0.3996,-2,15.3996,14.6004
118,132,121,117,0.20040000000000002,0,14.7996,15.2004
123,138,126,122,-0.8999000000000001,-3,15.8999,14.1001
134,148,136,131,-0.6002000000000001,-3,15.600200000000001,14.399799999999999
143,157,145,137,-0.3004,-2,15.3004,14.6996
153,165,151,144,0.1996,0,14.8004,15.1996
162,174,158,152,0.5998000000000001,2,14.4002,15.5998
172,184,166,160,1.6004,6,13.3996,16.6004
184,196,176,173,1.201,6,13.799,16.201
194,211,190,185,1.2016000000000002,6,13.798399999999999,16.2016
204,221,201,195,0.6020000000000001,4,14.398,15.602
211,227,208,202,-0.09790000000000004,1,15.0979,14.9021
219,237,218,211,0.20220000000000002,1,14.7978,15.2022
229,244,224,218,0.5024000000000001,2,14.4976,15.5024
236,251,229,222,1.3029,5,13.6971,16.3029
242,258,235,228,1.6036000000000001,7,13.3964,16.6036
251,268,244,236,1.4043,7,13.5957,16.4043
259,277,253,243,1.405,7,13.595,16.405
268,286,262,252,1.1056000000000001,6,13.8944,16.1056
276,295,273,263,1.2062000000000002,6,13.7938,16.2062
283,303,280,270,0.6066,4,14.3934,15.6066
293,313,290,281,0.5069000000000001,3,14.4931,15.5069
301,322,299,288,0.007000000000000006,1,14.993,15.007
305,326,304,292,0.2071,1,14.7929,15.2071
310,332,308,298,0.20720000000000002,1,14.7928,15.2072
318,339,316,306,0.5074000000000001,2,14.4926,15.5074
325,344,321,311,0.7077000000000001,3,14.2923,15.7077
329,349,326,316,0.6080000000000001,3,14.392,15.608
337,357,335,325,0.6083000000000001,3,14.3917,15.6083
343,366,344,332,-0.29170000000000007,0,15.2917,14.7083
347,370,348,337,-0.2918,-1,15.2918,14.7082
358,381,360,347,0.1082,0,14.8918,15.1082
367,391,369,355,-0.5920000000000001,-2,15.592,14.408
376,400,377,364,-0.09210000000000002,-1,15.0921,14.9079
384,407,384,374,-0.1922,-1,15.1922,14.8078
392,415,393,383,-0.1923,-1,15.1923,14.8077
399,425,403,393,-0.49250000000000005,-2,15.4925,14.5075
410,436,414,403,-0.6928000000000001,-3,15.6928,14.3072
417,444,422,409,-1.4934000000000003,-6,16.4934,13.506599999999999
428,456,433,421,-0.8939,-5,15.8939,14.1061
436,464,441,430,-1.2945000000000002,-6,16.2945,13.7055
443,474,449,441,-0.895,-5,15.895,14.105
452,483,460,450,-1.2956000000000003,-6,16.2956,13.7044
462,494,468,461,-1.7964,-8,16.7964,13.2036
468,500,475,467,-1.2971000000000001,-7,16.2971,13.7029
475,507,483,475,-1.998,-9,16.998,13.002
487,520,496,485,-1.7989,-9,16.7989,13.2011
498,532,506,493,-1.4997,-8,16.4997,13.5003
504,539,512,499,-1.3004,-7,16.3004,13.6996
513,547,521,507,-1.7012000000000003,-8,16.7012,13.2988
522,556,529,515,-1.9021000000000001,-9,16.9021,13.0979
531,563,535,521,-0.6025999999999999,-5,15.6026,14.3974
536,570,541,526,-1.0031,-5,16.0031,13.9969
542,576,548,532,-1.0036,-5,16.0036,13.9964
555,588,558,542,-0.4039000000000001,-3,15.4039,14.5961
565,598,567,551,-0.6042000000000001,-3,15.6042,14.3958
572,605,573,558,-0.3044,-2,15.3044,14.6956
581,615,581,566,-0.10450000000000001,-1,15.1045,14.8955
588,621,586,572,0.39560000000000006,1,14.6044,15.3956
597,631,592,579,1.3961000000000001,5,13.6039,16.3961
603,636,597,583,1.2967000000000002,6,13.7033,16.2967
606,639,600,587,1.1973000000000003,6,13.8027,16.1973
610,644,605,591,0.5977000000000001,4,14.4023,15.5977
618,651,613,599,1.3983,6,13.6017,16.3983
622,656,617,602,0.8988,5,14.1012,15.8988
630,664,624,610,0.9993,5,14.0007,15.9993
637,670,631,614,1.6,7,13.4,16.6
642,676,636,620,1.1006,6,13.8994,16.1006
646,681,641,624,1.2012000000000003,6,13.7988,16.2012
653,688,648,630,0.9017000000000001,5,14.0983,15.9017
657,693,652,636,1.0022,5,13.9978,16.0022
660,696,655,640,1.0027,5,13.9973,16.0027
666,703,662,648,1.0032,5,13.9968,16.0032
670,708,667,653,0.7036000000000001,4,14.2964,15.7036
678,716,674,659,0.5039000000000001,3,14.4961,15.5039
684,722,680,666,1.2044,5,13.7956,16.2044
690,728,685,671,1.0049,5,13.9951,16.0049
694,734,691,676,1.0054,5,13.9946,16.0054
699,741,697,683,0.10559999999999997,2,14.8944,15.1056
706,748,705,690,0.10570000000000002,1,14.8943,15.1057
715,756,712,697,0.5059,2,14.4941,15.5059
719,760,717,701,0.7062,3,14.2938,15.7062
725,767,723,707,0.3064,2,14.6936,15.3064
731,775,729,715,0.4066,2,14.5934,15.4066
737,781,736,721,0.40680000000000005,2,14.5932,15.4068
746,789,746,732,0.1069,1,14.8931,15.1069
753,800,752,740,0.20700000000000002,1,14.793,15.207
763,810,763,749,0.5072,2,14.4928,15.5072
772,820,772,759,0.1073,1,14.8927,15.1073
782,830,782,766,-0.39280000000000004,-1,15.3928,14.6072
787,835,788,773,0.1072,0,14.8928,15.1072
793,840,794,779,0.007200000000000001,0,14.9928,15.0072
799,847,800,784,-0.29290000000000005,-1,15.2929,14.7071
808,855,808,792,-0.193,-1,15.193,14.807
814,860,813,798,0.4071,1,14.5929,15.4071
821,867,819,805,0.20720000000000002,1,14.7928,15.2072
827,874,826,813,0.5074000000000001,2,14.4926,15.5074
833,880,832,819,0.7077000000000001,3,14.2923,15.7077
842,890,841,828,0.30790000000000006,2,14.6921,15.3079
852,900,849,837,0.10800000000000001,1,14.892,15.108
858,906,855,843,0.8083,3,14.1917,15.8083
863,912,862,849,0.6086000000000001,3,14.391399999999999,15.608600000000001
872,922,873,858,-0.29140000000000005,0,15.2914,14.7086
880,930,881,866,0.0086,0,14.9914,15.0086
888,939,888,871,-0.5916,-2,15.5916,14.4084
897,948,898,880,0.2084,0,14.7916,15.2084
901,954,905,887,-1.1920000000000002,-4,16.192,13.808
907,960,911,894,-1.0925,-5,16.0925,13.9075
912,965,916,900,-0.6929000000000001,-4,15.6929,14.3071
920,972,925,907,-1.0934,-5,16.0934,13.906600000000001
930,983,932,913,-0.9939,-5,15.9939,14.0061
935,988,937,919,-0.09409999999999996,-2,15.0941,14.9059
941,994,941,924,-0.0942,-1,15.0942,14.9058
953,1005,950,932,0.40590000000000004,1,14.5941,15.4059
964,1015,957,941,1.1063,4,13.893699999999999,16.1063
971,1024,963,948,2.0071000000000003,8,12.992899999999999,17.0071
979,1031,971,956,1.6079,8,13.3921,16.6079
985,1038,978,963,1.3086,7,13.6914,16.3086
992,1047,987,969,1.4093000000000002,7,13.5907,16.4093
1000,1054,995,977,0.8098000000000001,5,14.1902,15.8098
