Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
1,1,1,2,0.0,0,15.0,15.0
6,5,5,6,-0.20500000000000002,-1,15.205,14.795
11,12,12,13,0.095,0,14.905,15.095
17,17,17,17,-0.41500000000000004,-2,15.415,14.585
23,23,25,23,0.185,0,14.815,15.185
27,27,31,28,-0.6300000000000001,-3,15.63,14.37
33,35,38,35,-0.7550000000000001,-5,15.755,14.245
41,40,43,42,-0.17000000000000004,-3,15.17,14.83
49,48,52,51,-0.38500000000000006,-3,15.385,14.615
56,54,58,57,-0.19500000000000003,-2,15.195,14.805
62,61,64,64,-0.1,-1,15.1,14.9
67,67,71,70,-0.8200000000000001,-4,15.82,14.18
74,75,80,79,-0.54,-4,15.54,14.46
81,82,86,84,-0.765,-5,15.765,14.235
88,88,92,90,-0.485,-4,15.485,14.515
98,101,103,101,-0.605,-4,15.605,14.395
104,110,112,110,-1.0350000000000001,-6,16.035,13.965
112,117,119,116,-1.2750000000000001,-8,16.275,13.725
118,125,127,124,-1.115,-8,16.115,13.885
125,134,133,131,-1.155,-8,16.155,13.845
139,147,146,144,-0.9900000000000001,-7,15.99,14.01
149,155,154,151,-1.125,-7,16.125,13.875
159,166,163,160,-0.75,-5,15.75,14.25
167,174,169,167,-0.5650000000000002,-3,15.565,14.435
176,184,178,175,-0.78,-3,15.78,14.22
186,195,187,183,-0.59,-2,15.59,14.41
194,202,194,190,-0.29,0,15.29,14.71
203,215,205,202,-1.105,-3,16.105,13.895
214,225,216,212,-0.8200000000000001,-3,15.82,14.18
230,238,228,223,-0.63,-2,15.63,14.37
236,247,234,228,0.08000000000000002,2,14.92,15.08
241,253,240,233,-0.515,1,15.515,14.485
250,263,249,241,5.551115123125783e-17,3,15.0,15.0
257,270,257,247,-0.8,0,15.8,14.2
265,278,266,255,-0.705,-1,15.705,14.295
269,283,273,260,-1.02,-3,16.02,13.98
274,290,279,265,-1.2449999999999999,-5,16.245,13.755
282,297,287,274,-0.8650000000000001,-4,15.865,14.135
289,305,293,280,-1.19,-5,16.19,13.81
295,314,300,288,-1.115,-5,16.115,13.885
302,323,308,295,-1.55,-7,16.55,13.45
309,330,316,301,-1.3850000000000002,-7,16.385,13.615
315,338,323,309,-1.625,-8,16.625,13.375
323,346,332,317,-1.77,-9,16.77,13.23
331,357,340,326,-1.715,-9,16.715,13.285
338,365,348,334,-1.76,-9,16.76,13.24
348,374,356,341,-2.0100000000000002,-10,17.01,12.99
358,384,363,349,-1.1400000000000001,-6,16.14,13.86
364,391,369,356,-1.3649999999999998,-5,16.365,13.635
374,399,378,363,-1.49,-5,16.49,13.51
381,406,385,372,-1.31,-4,16.31,13.69
390,414,392,377,-1.2249999999999999,-3,16.225,13.775
399,423,400,384,-1.1349999999999998,-2,16.134999999999998,13.865
408,433,410,394,-1.04,-1,16.04,13.96
414,441,417,402,-1.35,-2,16.35,13.65
419,448,424,408,-1.875,-5,16.875,13.125
428,457,434,416,-1.8050000000000002,-6,16.805,13.195
435,465,442,423,-1.9400000000000004,-7,16.94,13.059999999999999
443,474,451,430,-2.08,-8,17.08,12.92
454,485,461,442,-2.02,-8,17.02,12.98
460,493,469,450,-2.06,-8,17.06,12.94
466,499,476,457,-2.305,-9,17.305,12.695
474,507,483,465,-2.455,-10,17.455,12.545
484,517,491,473,-1.7900000000000003,-7,16.79,13.209999999999999
493,525,498,480,-2.125,-7,17.125,12.875
500,532,504,486,-1.5450000000000002,-4,16.545,13.455
506,540,510,493,-2.07,-5,17.07,12.93
518,553,520,502,-1.5850000000000002,-3,16.585,13.415
527,562,530,510,-1.595,-2,16.595,13.405
535,570,536,517,-1.705,-2,16.705,13.295
545,582,549,528,-1.51,-1,16.51,13.49
552,591,558,535,-2.0250000000000004,-3,17.025,12.975
562,603,566,546,-2.455,-6,17.455,12.545
574,616,579,559,-1.98,-5,16.98,13.02
584,628,587,568,-1.9,-4,16.9,13.1
593,638,596,578,-1.815,-3,16.815,13.185
602,647,603,586,-1.5200000000000002,-1,16.52,13.48
611,655,611,596,-1.9300000000000002,-2,16.93,13.07
623,666,621,606,-1.2249999999999999,1,16.225,13.775
633,676,628,614,-1.11,3,16.11,13.89
640,683,637,623,-0.885,5,15.885,14.115
652,695,649,632,-1.47,3,16.47,13.53
664,706,660,642,-0.845,5,15.845,14.155
671,714,666,648,-1.225,4,16.225,13.775
679,724,675,656,-1.31,3,16.31,13.69
687,733,683,667,-1.195,3,16.195,13.805
698,745,695,677,-0.9750000000000002,4,15.975,14.025
705,751,700,683,-0.85,5,15.85,14.15
718,764,715,697,-0.925,5,15.925,14.075
727,778,725,708,-1.7199999999999998,1,16.72,13.280000000000001
734,783,733,713,-1.52,0,16.52,13.48
744,794,741,721,-1.2149999999999999,1,16.215,13.785
749,799,746,725,-0.9000000000000001,3,15.9,14.1
760,815,756,737,-1.085,3,16.085,13.915
771,824,767,746,-0.6600000000000001,5,15.66,14.34
781,835,779,758,-1.2449999999999999,3,16.245,13.755
791,846,790,769,-1.44,1,16.44,13.56
797,855,798,776,-1.4400000000000002,0,16.44,13.56
805,863,806,784,-1.5450000000000002,-1,16.545,13.455
810,871,814,791,-1.655,-2,16.655,13.345
819,880,823,799,-1.9749999999999999,-4,16.975,13.025
830,890,832,807,-1.59,-3,16.59,13.41
839,899,840,814,-1.5,-2,16.5,13.5
843,904,845,819,-1.405,-1,16.405,13.595
852,913,854,826,-1.51,-1,16.51,13.49
861,923,864,833,-1.72,-2,16.72,13.28
872,936,873,845,-1.63,-2,16.63,13.370000000000001
883,945,882,854,-1.23,0,16.23,13.77
893,955,892,861,-1.2249999999999999,1,16.225,13.775
900,963,900,868,-1.5250000000000001,0,16.525,13.475
909,974,910,880,-1.425,0,16.425,13.575
913,979,914,885,-1.6300000000000001,-1,16.63,13.37
921,988,923,894,-1.3299999999999998,0,16.33,13.67
932,997,931,902,-1.6350000000000002,-1,16.635,13.365
939,1006,939,910,-1.335,0,16.335,13.665
944,1011,944,915,-1.2299999999999998,1,16.23,13.77
957,1024,954,924,-1.1199999999999999,2,16.12,13.88
968,1035,961,932,-0.39,6,15.39,14.61
974,1041,967,936,-0.76,6,15.76,14.24
983,1052,976,946,-0.5249999999999999,7,15.525,14.475
989,1057,980,951,-0.3849999999999999,8,15.385,14.615
995,1065,987,957,-0.23999999999999996,9,15.24,14.76
1000,1071,992,962,-0.4999999999999999,8,15.5,14.5
