Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
0,0,1,1,0.0,0,15.0,15.0
1,0,2,1,-0.2001,-1,15.2001,14.7999
6,6,6,6,-0.10020000000000001,-1,15.1002,14.8998
19,17,18,18,0.2999,1,14.7001,15.2999
27,23,29,25,-0.10010000000000001,0,15.1001,14.8999
37,30,35,31,0.4001,2,14.5999,15.4001
45,37,41,38,0.00020000000000000573,1,14.9998,15.0002
54,42,47,44,0.9007000000000001,5,14.0993,15.9007
63,53,59,54,0.5012,5,14.4988,15.5012
70,63,67,64,0.10150000000000003,3,14.8985,15.1015
79,71,77,72,0.30180000000000007,3,14.6982,15.3018
88,81,85,83,0.30210000000000004,3,14.6979,15.3021
100,92,96,92,0.30240000000000006,3,14.6976,15.3024
105,98,103,97,0.1026,2,14.8974,15.1026
115,108,114,106,0.2028,2,14.7972,15.2028
121,115,120,112,0.203,2,14.797,15.203
127,123,127,119,-0.197,0,15.197,14.803
138,133,135,129,0.4032,2,14.5968,15.4032
146,144,143,135,0.4035000000000001,3,14.5965,15.4035
153,151,152,141,0.30380000000000007,3,14.6962,15.3038
157,156,158,147,-0.2962,0,15.2962,14.7038
166,164,167,155,-0.19630000000000003,-1,15.1963,14.8037
170,167,171,157,-0.2965,-2,15.2965,14.7035
179,179,179,168,0.20350000000000001,0,14.7965,15.2035
183,183,184,171,-0.1966,-1,15.1966,14.8034
190,193,191,180,-0.09670000000000001,-1,15.0967,14.9033
195,199,198,186,-0.29690000000000005,-2,15.2969,14.7031
202,205,205,190,-0.3972,-3,15.3972,14.6028
209,212,212,198,-0.29750000000000004,-3,15.2975,14.7025
214,218,218,203,-0.698,-5,15.698,14.302
222,226,226,209,-0.4985,-5,15.4985,14.5015
229,233,234,215,-0.29890000000000005,-4,15.2989,14.7011
237,241,243,221,-0.39930000000000004,-4,15.3993,14.6007
246,248,252,227,-1.0,-7,16.0,14.0
254,254,259,234,-0.5006000000000002,-6,15.5006,14.4994
260,261,266,239,-0.6012000000000001,-6,15.6012,14.3988
269,273,276,249,-0.6018000000000001,-6,15.6018,14.3982
277,281,284,257,-0.8025,-7,15.8025,14.1975
288,291,295,269,-0.7032,-7,15.7032,14.2968
296,299,303,276,-0.7039000000000001,-7,15.7039,14.2961
302,305,309,283,-0.7046000000000001,-7,15.7046,14.2954
311,314,318,291,-0.9054,-8,15.9054,14.0946
320,323,328,299,-0.6061000000000001,-7,15.6061,14.3939
326,331,337,306,-1.107,-9,16.107,13.893
331,337,345,312,-1.3081,-11,16.3081,13.6919
337,345,351,319,-1.9096000000000002,-15,16.9096,13.090399999999999
349,357,365,331,-1.311,-14,16.311,13.689
355,364,372,338,-2.0127,-17,17.0127,12.9873
361,371,378,343,-1.9145,-18,16.9145,13.0855
368,380,388,352,-1.8163,-18,16.8163,13.1837
373,385,392,357,-2.0182,-19,17.0182,12.9818
379,394,399,364,-1.9201000000000001,-19,16.9201,13.0799
383,399,404,368,-2.3222000000000005,-21,17.322200000000002,12.6778
394,412,414,378,-1.9242,-20,16.9242,13.075800000000001
403,420,422,385,-2.0262000000000002,-20,17.0262,12.9738
409,427,428,390,-1.8281,-19,16.8281,13.1719
418,434,436,397,-1.9300000000000002,-19,16.93,13.07
425,441,443,403,-1.7318,-18,16.7318,13.2682
432,448,448,408,-1.6335000000000002,-17,16.6335,13.3665
442,458,458,417,-1.5351,-16,16.5351,13.4649
453,469,472,427,-1.6367,-16,16.6367,13.3633
462,477,479,436,-2.0385,-18,17.0385,12.961500000000001
473,487,487,445,-1.4401000000000002,-16,16.4401,13.559899999999999
483,499,497,454,-1.4416,-15,16.4416,13.5584
