Encoder 1,Encoder 2,Control Signal 1,Control Signal 2,PID Speed Control,Motor Speed 1,Motor Speed 2
924,1059,7.79,7.552999999999999,0.02847200000000026,27.761528,27.581471999999998
937,1076,7.272000000000001,7.236,-0.0018930000000000544,27.273893,27.234107
952,1093,7.759000000000001,7.219,0.06965099999999977,27.689349,27.288651
961,1104,7.5440000000000005,7.202000000000001,-0.0004050000000000477,27.544405,27.201595
980,1122,8.135,7.8919999999999995,0.009638999999999974,28.125360999999998,27.901639
992,1137,7.015000000000001,6.771000000000001,0.019884000000000113,26.995116,26.790884000000002
1006,1154,7.5,7.255000000000001,0.020129999999999756,27.479870000000002,27.27513
1022,1171,8.091,7.440999999999999,0.061585000000000466,28.029415,27.502585
1033,1185,7.375,7.023000000000001,-0.00866100000000019,27.383661,27.014339
1051,1204,7.258,7.005,0.011392999999999973,27.246607,27.016392999999997
1062,1219,7.6450000000000005,7.391,0.021648000000000115,27.623352,27.412647999999997
1076,1234,7.9350000000000005,7.478000000000001,0.042507999999999935,27.892492,27.520508000000003
1090,1250,7.42,6.96,0.02297100000000001,27.397029000000003,26.982971
1104,1266,7.304,7.346,-0.02807299999999989,27.332073,27.317927
1123,1289,7.691999999999999,6.928,0.10429699999999974,27.587703,27.032297
1134,1301,7.175,6.708,-0.005832999999999703,27.180833,26.702167
1148,1316,7.562,7.3950000000000005,-0.00626600000000007,27.568266,27.388734
1163,1333,7.3469999999999995,7.079000000000001,0.034202999999999914,27.312797,27.113203000000002
1175,1346,7.635000000000001,7.063000000000001,0.05537899999999985,27.579621000000003,27.118379
1189,1360,7.117999999999999,7.148,-0.03585300000000004,27.153852999999998,27.112147
1207,1378,7.404,7.133000000000001,0.05501899999999983,27.348981,27.188019000000004
1216,1389,7.188000000000001,6.9159999999999995,0.025292000000000477,27.162708000000002,26.941292
1235,1409,7.677000000000001,7.404000000000001,0.025565999999999763,27.651434,27.429566
