Encoder 1,Encoder 2,PID Speed Control,Motor Speed 1,Motor Speed 2
0,0,0.0,20.0,20.0
5,4,0.0,20.00000000123636,20.00000000123636
8,9,0.0,20.00000000432725,20.00000000432725
14,17,-1.483626022036333e-10,20.00000000633015,20.000000007269783
24,28,-1.112721648155457e-10,20.00000001123849,20.000000012870483
37,39,-6.800000562634523e-11,20.000000017995184,20.000000019713724
46,49,-1.2363088330857868e-11,20.000000025357696,20.000000026569325
59,60,-8.654534866536778e-11,20.00000003285002,20.00000003391329
70,69,-2.4727064840135424e-11,20.00000003958817,20.000000040156895
79,81,-1.8545271984748975e-11,20.000000047618315,20.000000047581224
93,95,-2.2872622906788822e-10,20.000000052155748,20.000000052934652
102,104,-1.174535313452907e-10,20.000000061317156,20.000000062318605
115,117,-1.2981743680029467e-10,20.00000006689313,20.000000067869852
125,128,-6.799989904493484e-11,20.000000074867636,20.000000075349817
135,138,-2.843618673864512e-10,20.00000007941125,20.00000008069706
152,154,-1.7927213491475412e-10,20.000000087960665,20.000000089456655
158,162,-1.236356439449082e-10,20.00000009594135,20.00000009693044
165,171,-4.203617010034577e-10,20.000000099947147,20.000000102197323
176,185,-4.141794818224298e-10,20.000000106122755,20.00000010962165
188,196,-4.821790966502704e-10,20.000000113608902,20.000000118208153
199,210,-4.883616000483926e-10,20.000000119178694,20.000000124383757
210,223,-5.625422971888839e-10,20.000000126052843,20.00000013172772
222,235,-6.429063148516434e-10,20.00000013355135,20.000000139683685
231,245,-7.294505977029075e-10,20.00000014105604,20.000000147633465
239,259,-1.1189034054837068e-09,20.000000146390924,20.000000155280336
252,272,-1.1436308255952098e-09,20.000000153215616,20.000000163910112
260,284,-1.2363576118445964e-09,20.000000160108314,20.00000017185371
270,295,-1.4032654860329785e-09,20.000000164602472,20.00000017725041
281,308,-1.5083566040630104e-09,20.00000017088935,20.000000183945286
289,317,-1.6072644015707738e-09,20.000000179024585,20.0000001918827
300,328,-1.916354257502917e-09,20.000000183042747,20.000000196519043
311,340,-2.0399899725020987e-09,20.000000190584526,20.000000204431732
322,355,-2.3058069231751686e-09,20.000000197032133,20.000000211584062
330,364,-2.5221695310051472e-09,20.00000020404846,20.000000219404022
342,376,-2.602532696016624e-09,20.000000209692434,20.00000022488727
351,389,-2.954894320339463e-09,20.000000217462944,20.00000023318941
363,403,-3.4185289621291303e-09,20.00000022472654,20.00000024261664
372,411,-3.356710855939582e-09,20.000000230228334,20.000000248242067
384,426,-3.603982392519356e-09,20.00000023727557,20.00000025479476
391,435,-4.073798471893042e-09,20.000000243308996,20.000000261743093
403,449,-4.302524203581016e-09,20.000000248483154,20.00000026769615
415,460,-4.457069167074224e-09,20.000000256055845,20.000000274959756
429,471,-4.661068118139156e-09,20.00000026491435,20.00000028279208
437,478,-4.698159088434295e-09,20.00000027360594,20.00000028893678
450,495,-5.41524610042643e-09,20.0000002780321,20.000000293783298
458,506,-5.718154092448914e-09,20.00000028698951,20.00000030398943
466,518,-6.18796970996982e-09,20.00000029240476,20.000000311555937
479,530,-6.194151609406617e-09,20.00000029982909,20.000000318967903
