Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
1,1,0,0,0.5101,1,14.4899,15.5101
3,3,1,1,0.5203,2,14.4797,15.5203
3,3,1,1,0.0205,2,14.9795,15.0205
3,3,1,1,0.0207,2,14.9793,15.0207
5,3,1,2,0.531,3,14.469,15.531
8,7,5,6,0.5414,4,14.4586,15.5414
12,12,10,12,-0.9784,2,15.9784,14.0216
22,22,21,23,-0.9984,0,15.9984,14.0016
29,29,28,31,0.5117,1,14.4883,15.5117
35,35,35,40,-0.4983,0,15.4983,14.5017
43,42,43,48,-0.5084,-1,15.5084,14.4916
51,50,51,58,0.5016,0,14.4984,15.5016
60,59,60,68,0.5117,1,14.4883,15.5117
68,70,71,77,-2.0286,-3,17.0286,12.9714
73,76,77,83,-0.0289,-3,15.0289,14.9711
78,82,83,89,-1.0493999999999999,-5,16.0494,13.9506
86,90,92,98,-0.56,-6,15.56,14.44
91,96,99,103,-1.0808,-8,16.0808,13.9192
98,104,107,111,-0.0816,-8,15.0816,14.9184
103,111,113,117,-1.1026,-10,16.1026,13.8974
109,117,118,123,-0.10360000000000001,-10,15.1036,14.8964
116,124,126,130,0.40549999999999997,-9,14.5945,15.4055
125,134,135,139,-0.0954,-9,15.0954,14.9046
135,146,146,148,-0.6064,-10,15.6064,14.3936
143,155,154,156,-0.6175,-11,15.6175,14.3825
152,167,166,167,-0.1186,-11,15.1186,14.8814
161,175,173,173,-1.1399,-13,16.1399,13.8601
170,184,182,182,-0.1412,-13,15.1412,14.8588
180,193,191,191,0.8777,-11,14.1223,15.8777
190,206,200,201,-0.1234,-11,15.1234,14.8766
197,213,208,208,-0.1245,-11,15.1245,14.8755
206,221,214,216,0.3845,-10,14.6155,15.3845
216,230,224,224,0.9037,-8,14.0963,15.9037
223,240,235,232,-1.1173,-10,16.1173,13.8827
230,248,243,240,-1.1385,-12,16.1385,13.8615
242,261,256,251,-0.1397,-12,15.1397,14.8603
248,268,263,256,-1.6712,-15,16.6712,13.3288
254,274,268,261,0.3374,-14,14.6626,15.3374
261,281,273,266,0.34609999999999996,-13,14.6539,15.3461
264,285,278,269,-0.6653,-14,15.6653,14.3347
276,298,287,278,0.8535,-12,14.1465,15.8535
283,306,292,283,0.8725,-10,14.1275,15.8725
288,312,297,289,0.3816,-9,14.6184,15.3816
297,322,306,297,0.3908,-8,14.6092,15.3908
307,329,314,304,0.4001,-7,14.5999,15.4001
314,336,320,312,-0.10060000000000001,-7,15.1006,14.8994
324,346,329,322,-0.1013,-7,15.1013,14.8987
332,353,336,329,0.9182,-5,14.0818,15.9182
338,361,342,335,-0.08230000000000001,-5,15.0823,14.9177
347,372,350,343,0.4273,-4,14.5727,15.4273
357,383,358,353,0.9471,-2,14.0529,15.9471
367,393,368,362,0.457,-1,14.543,15.457
375,401,376,370,-0.5532,-2,15.5532,14.4468
385,411,385,379,0.4567,-1,14.5433,15.4567
395,421,394,386,0.4667,0,14.5333,15.4667
404,431,403,395,-0.0333,0,15.0333,14.9667
414,443,412,404,0.4768,1,14.5232,15.4768
424,451,419,413,2.0173,5,12.9827,17.0173
434,463,430,424,0.017800000000000003,5,14.9822,15.0178
446,475,442,433,-0.4918,4,15.4918,14.5082
454,486,449,440,0.008599999999999997,4,14.9914,15.0086
461,493,457,447,0.5191,5,14.4809,15.5191
469,501,464,456,-0.4905,4,15.4905,14.5095
475,508,470,460,0.009899999999999999,4,14.9901,15.0099
483,518,478,468,0.5204,5,14.4796,15.5204
490,525,485,474,-0.4892,4,15.4892,14.5108
500,535,493,484,0.5213,5,14.4787,15.5213
507,542,501,490,1.042,7,13.958,16.042
516,550,509,498,-1.4876,4,16.4876,13.5124
522,557,516,505,2.0532,8,12.9468,17.0532
535,570,526,516,0.5641,9,14.4359,15.5641
541,580,533,526,-0.4451,8,15.4451,14.5549
549,589,541,533,0.5658,9,14.4342,15.5658
556,597,549,540,-0.9535,7,15.9535,14.0465
563,604,557,548,-0.4629,6,15.4629,14.5371
569,612,563,554,0.0377,6,14.9623,15.0377
575,619,569,559,-0.4718,5,15.4718,14.5282
581,626,577,565,-0.9915,3,15.9915,14.0085
589,632,583,571,1.029,5,13.971,16.029
600,643,593,581,0.5396,6,14.4604,15.5396
608,651,600,587,1.0604,8,13.9396,16.0604
615,657,607,594,0.061200000000000004,8,14.9388,15.0612
621,667,615,602,-0.9582,6,15.9582,14.0418
630,677,622,610,0.5525,7,14.4475,15.5525
640,687,630,618,1.0734,9,13.9266,16.0734
647,693,635,624,1.0945,11,13.9055,16.0945
653,700,641,629,1.1158,13,13.8842,16.1158
663,710,651,638,0.11710000000000001,13,14.8829,15.1171
670,718,660,645,-0.9018,11,15.9018,14.0982
679,728,670,656,-0.9209,9,15.9209,14.0791
687,740,681,666,-0.9402,7,15.9402,14.0598
697,752,691,675,-0.9597,5,15.9597,14.0403
708,762,701,685,0.0408,5,14.9592,15.0408
717,773,710,692,1.5716,8,13.4284,16.5716
724,781,718,699,-0.9478,6,15.9478,14.0522
732,790,725,707,0.0528,6,14.9472,15.0528
743,802,735,714,0.053399999999999996,6,14.9466,15.0534
752,815,744,725,0.5641,7,14.4359,15.5641
761,825,754,735,0.06480000000000001,7,14.9352,15.0648
767,831,760,742,0.5756,8,14.4244,15.5756
776,838,767,750,0.0764,8,14.9236,15.0764
786,849,778,762,0.0772,8,14.9228,15.0772
793,859,787,771,0.078,8,14.922,15.078
799,868,793,777,-0.4313,7,15.4313,14.5687
812,882,807,788,0.0694,7,14.9306,15.0694
818,890,812,795,-0.44,6,15.44,14.56
826,899,822,804,-0.9596,4,15.9596,14.0404
839,909,832,813,0.5509,5,14.4491,15.5509
844,917,839,821,1.0716,7,13.9284,16.0716
853,927,849,831,-1.458,4,16.458,13.542
860,935,856,839,-0.4677,3,15.4677,14.5323
867,942,864,848,1.0528,5,13.9472,16.0528
877,952,873,857,-0.9669,3,15.9669,14.0331
888,960,883,863,1.0536,5,13.9464,16.0536
896,970,892,873,0.0541,5,14.9459,15.0541
905,979,901,883,-0.4555,4,15.4555,14.5445
914,990,909,895,0.555,5,14.445,15.555
919,996,918,902,-0.9647,3,15.9647,14.0353
926,1005,925,908,-0.4745,2,15.4745,14.5255
935,1016,935,917,0.0257,2,14.9743,15.0257
945,1027,944,927,-0.4842,1,15.4842,14.5158
955,1037,953,936,0.526,2,14.474,15.526
966,1046,962,944,0.0262,2,14.9738,15.0262
975,1056,970,952,1.0466,4,13.9534,16.0466
983,1065,977,962,0.5571,5,14.4429,15.5571
992,1076,984,969,0.5677,6,14.4323,15.5677
1002,1084,993,978,1.0885,8,13.9115,16.0885
