Encoder 1,Encoder 2,PID Speed Control,Motor Speed 1,Motor Speed 2
771,765,6.101424006033085e-10,15.00000047229659,15.000000469807803
777,771,6.138514727638267e-10,15.000000477856489,15.00000047537512
781,775,6.175605449243449e-10,15.000000481561852,15.000000479087902
793,785,7.47378010146349e-10,15.000000485759287,15.000000482308613
799,792,6.917420467544845e-10,15.00000049199671,15.000000487816585
804,796,5.724334393164553e-10,15.000000495825091,15.000000492024528
811,803,6.391967968255585e-10,15.000000498231042,15.000000494564008
819,810,7.071966940941366e-10,15.000000503108474,15.000000498959256
830,816,7.139963038582664e-10,15.000000507428924,15.000000502675128
839,827,8.475230206528295e-10,15.000000514713543,15.000000508372265
848,835,6.070514491085532e-10,15.000000520517622,15.000000514313582
858,846,7.393418091083959e-10,15.00000052656712,15.000000520009479
866,854,5.594518110996206e-10,15.000000532310619,15.000000526629554
872,860,8.790501375699479e-10,15.00000053693645,15.000000530040047
882,870,7.022508512477544e-10,15.0000005414405,15.0000005341905
891,878,6.47851424062651e-10,15.000000547058509,15.000000540317888
904,892,6.546512114624648e-10,15.000000553851674,15.000000547742832
916,903,7.238874655257632e-10,15.000000560582405,15.000000554612033
927,913,7.943595399240167e-10,15.000000568548256,15.000000562100652
937,923,8.666865056738971e-10,15.000000575894074,15.000000568354766
943,929,6.892694006666034e-10,15.000000581016922,15.000000573740957
955,941,7.597414732885e-10,15.0000005852737,15.00000057813868
967,952,8.945047262898243e-10,15.00000059379344,15.000000585691588
977,961,7.177056229323853e-10,15.000000598915669,15.000000591078397
990,973,8.518503431531599e-10,15.000000606817848,15.000000598630686
997,980,8.629773819990306e-10,15.000000613606685,15.000000604823601
1007,990,8.747227759897669e-10,15.000000617922192,15.00000060854442
1015,999,6.979238484916551e-10,15.000000623662599,15.000000615167586
1027,1011,8.94504674775476e-10,15.000000630265985,15.000000621545954
1037,1018,7.801414980690424e-10,15.000000635943955,15.00000062761338
1046,1028,8.518502863097411e-10,15.000000642672214,15.000000634485055
1056,1036,1.0509038261830028e-09,15.000000649891305,15.000000640247716
1067,1048,8.771956139241866e-10,15.000000654392265,15.00000064440126
1081,1060,9.519952968162215e-10,15.000000661735609,15.000000651276025
1089,1068,9.655952304399307e-10,15.000000669758332,15.00000065870777
1098,1077,9.798131621607808e-10,15.000000675307723,15.000000663667418
1110,1091,8.054867688400691e-10,15.000000681045657,15.000000670293058
1120,1100,9.41486199224073e-10,15.000000688945981,15.000000678465382
1130,1109,1.0169042408136874e-09,15.000000694434174,15.000000683486228
1140,1119,9.68067707773912e-10,15.000000700664796,15.00000068961918
1150,1131,9.179955320348655e-10,15.000000707514834,15.000000696987252
1163,1142,9.291225708807359e-10,15.000000714303674,15.000000704416525
1169,1148,1.1287944694515772e-09,15.00000071966761,15.000000708943446
1187,1164,1.2073030468684465e-09,15.000000725152711,15.000000712731026
1193,1169,9.736312609476273e-10,15.000000734659062,15.000000722388217
1201,1179,1.0496676576821072e-09,15.000000738292101,15.000000726173324
1213,1189,1.0008313040543726e-09,15.000000743904545,15.000000732306276
1222,1195,1.3915204188919006e-09,15.000000752786537,15.00000073887875
1227,1201,1.0991217802569507e-09,15.000000756169829,15.000000741677248
1234,1208,9.897042136941538e-10,15.00000075998832,15.000000746513258
1245,1217,1.191848468806711e-09,15.000000764113427,15.000000750424476
1258,1230,1.2722119393515643e-09,15.000000772069386,15.000000757304806
1267,1239,1.165884906839665e-09,15.000000778975679,15.000000763998445
1278,1247,1.309302662733103e-09,15.000000785014048,15.000000769087292
1287,1256,1.2672662741408658e-09,15.000000791237873,15.000000774608864
1299,1270,1.2876663504357567e-09,15.000000798017437,15.000000780811051
1311,1281,1.0564674610691326e-09,15.000000804430424,15.000000788616175
1321,1291,1.2598482523884514e-09,15.000000811027009,15.000000795619524
1330,1299,1.4038838287433462e-09,15.00000081830112,15.000000801945346
1339,1307,1.3624659764843728e-09,15.000000823906145,15.000000806849357
1349,1318,1.2573754801792345e-09,15.000000828956667,15.000000812307876
1364,1331,1.3383569488212287e-09,15.000000835057472,15.000000818570646
1372,1340,1.483629063159242e-09,15.00000084418488,15.00000082675224
1376,1345,1.317338817585778e-09,15.000000848678422,15.00000083153138
1386,1356,1.335884178388369e-09,15.000000852987128,15.000000836495357
1400,1371,1.353811541093819e-09,15.00000085853281,15.00000084269507
1404,1376,1.3711203674660055e-09,15.000000865315467,15.000000850130524
1419,1390,1.513919766438221e-09,15.00000086949992,15.000000853982396
1433,1401,1.4706472004633043e-09,15.000000879434051,15.000000863829984
1444,1412,1.615300956103738e-09,15.000000886089362,15.000000869538246
1456,1424,1.5114469960053613e-09,15.00000089484772,15.000000878088894
