Encoder 1,Encoder 2,PID Speed Control,Motor Speed 1,Motor Speed 2
0,0,0.0,15.0,15.0
1,1,0.0,15.0,15.0
4,4,0.0,15.000000001236359,15.000000001236359
6,5,0.0,15.000000002472717,15.000000002472717
8,7,1.2610857424988354e-10,15.000000004201144,15.000000003217004
13,13,-1.2239949853665167e-10,15.000000005686012,15.000000005441212
15,15,1.2363585710772896e-12,15.00000000927145,15.000000009273922
28,24,6.429064569601906e-11,15.000000011681113,15.000000011191513
36,30,1.9225357661412091e-10,15.000000018971297,15.000000016883089
44,37,1.353812582038927e-10,15.00000002520996,15.00000002177165
56,48,1.415630492829223e-10,15.00000003138557,15.000000026723264
68,58,8.592691180808742e-11,15.000000038859355,15.000000033467598
78,66,2.188352752341416e-10,15.000000046144596,15.000000039164117
88,76,1.0385410220692392e-10,15.000000051205008,15.00000004337639
99,88,-1.2981605124195992e-11,15.000000058121815,15.000000050677702
105,95,-6.799991680850326e-12,15.000000063679245,15.000000056865675
121,109,6.18179072375824e-11,15.00000006917424,15.000000062497904
130,118,6.861769641375305e-11,15.000000077821946,15.000000071159212
141,127,3.2763499113741546e-10,15.00000008374472,15.000000075127303
152,140,-3.6472611597559985e-11,15.000000090290618,15.000000082181346
160,147,9.519975385785529e-11,15.000000096958916,15.000000089112987
173,160,1.0323590515781689e-10,15.000000101896312,15.000000094066456
184,169,1.7432634003000659e-10,15.00000010986155,15.000000101555695
195,180,1.8421738268159518e-10,15.000000116651629,15.000000107747377
208,193,3.208348200445244e-10,15.000000124551338,15.000000114065786
218,202,2.0400040767754044e-11,15.000000131033564,15.000000121183499
227,212,1.539265852557037e-10,15.000000137700008,15.000000128116996
238,223,1.0076316314666657e-10,15.000000143316782,15.000000134245624
249,233,1.7185395861929464e-10,15.000000150663842,15.000000141734862
259,242,3.7028914867676125e-10,15.000000157265376,15.00000014687873
267,252,6.799902863008338e-12,15.000000162574297,15.000000153315211
278,262,2.015263742549678e-10,15.000000168561362,15.000000159691728
287,270,3.3690763423521733e-10,15.000000174607772,15.000000164772542
300,279,4.1294368280375694e-10,15.000000181331705,15.000000169794012
312,290,3.0290758523676684e-10,15.00000018824171,15.000000175865766
324,300,3.8018016823571087e-10,15.000000194964409,15.00000018150665
335,312,2.0770832342975612e-10,15.00000020255503,15.000000189370505
342,321,2.8312601507707314e-10,15.000000208043224,15.000000195009536
352,332,2.336716686812679e-10,15.00000021365629,15.000000201141871
360,341,1.8236278442884668e-10,15.00000021988939,15.000000208508713
372,352,3.177440444090962e-10,15.000000227172157,15.000000216062242
380,361,3.2948944728161676e-10,15.000000232105844,15.00000022101942
393,376,2.1512627590425382e-10,15.000000238401999,15.000000228323206
406,390,2.862168901884843e-10,15.000000245749057,15.000000236430626
416,400,3.579256837582534e-10,15.000000254331855,15.00000024515684
423,409,2.4170797452427453e-10,15.000000260011685,15.000000251840593
439,424,4.3705262520177253e-10,15.000000265379951,15.000000256981371
450,434,4.4756166950321585e-10,15.00000027340577,15.000000264410028
455,440,3.9563460596525603e-10,15.00000027902131,15.000000269921712
467,449,5.316340452310442e-10,15.00000028568528,15.000000275621323
475,459,3.560711245853554e-10,15.000000290188096,15.000000280391193
484,468,4.914523845656049e-10,15.000000296234505,15.000000286090186
496,480,3.1465310534883884e-10,15.000000303211275,15.000000293949716
503,490,4.4817982747247247e-10,15.00000030864136,15.000000299646855
515,502,2.689080123019494e-10,15.000000313766064,15.000000306267552
