Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
10,10,7,7,0.0,0,15.0,15.0
22,23,19,18,0.6030000000000001,3,14.397,15.603
32,34,29,27,0.507,4,14.493,15.507
43,47,42,39,-0.19200000000000003,1,15.192,14.808
54,59,55,51,0.10900000000000001,1,14.891,15.109
67,73,69,65,-0.29200000000000004,-1,15.292,14.708
80,87,82,78,-0.093,-1,15.093,14.907
90,96,90,86,-0.094,-1,15.094,14.906
101,108,102,99,0.10600000000000001,0,14.894,15.106
112,120,114,110,-0.195,-1,15.195,14.805
128,137,128,125,-0.096,-1,15.096,14.904
142,150,145,139,-0.097,-1,15.097,14.903
156,164,162,153,-0.7010000000000001,-4,15.701,14.299
168,177,174,166,-0.8070000000000002,-6,15.807,14.193
183,195,192,181,-0.8140000000000001,-7,15.814,14.186
197,209,206,196,-1.123,-9,16.123,13.877
212,224,222,209,-0.932,-9,15.932,14.068
223,236,234,219,-1.1420000000000001,-10,16.142,13.858
233,245,243,227,-0.8510000000000001,-9,15.851,14.149
245,257,255,238,-1.161,-10,16.161,13.839
257,271,266,249,-0.669,-8,15.669,14.331
271,287,282,265,-1.279,-10,16.279,13.721
287,303,297,279,-1.2900000000000003,-11,16.29,13.709999999999999
299,315,308,290,-1.201,-11,16.201,13.799
311,329,320,302,-0.81,-9,15.81,14.19
324,343,334,315,-1.2200000000000002,-10,16.22,13.78
338,358,348,330,-1.13,-10,16.13,13.870000000000001
357,380,364,349,-0.9390000000000002,-9,15.939,14.061
370,395,376,362,-0.6460000000000001,-7,15.646,14.354
384,410,390,374,-0.6520000000000001,-6,15.652000000000001,14.347999999999999
393,419,399,383,-0.557,-5,15.557,14.443
403,431,412,395,-1.2650000000000001,-8,16.265,13.735
415,444,424,408,-1.1740000000000002,-9,16.174,13.826
423,457,437,416,-1.6860000000000002,-12,16.686,13.314
431,468,448,425,-2.202,-16,17.201999999999998,12.798
444,483,463,437,-2.22,-18,17.22,12.78
457,497,477,448,-2.4400000000000004,-20,17.44,12.559999999999999
474,517,498,467,-2.26,-20,17.259999999999998,12.74
486,531,514,480,-3.6870000000000003,-27,18.687,11.312999999999999
503,549,533,495,-3.2150000000000003,-28,18.215,11.785
522,570,553,513,-3.947,-32,18.947,11.053
534,585,564,526,-3.1769999999999996,-30,18.177,11.823
549,604,577,540,-3.2060000000000004,-29,18.206,11.794
563,618,590,554,-3.3350000000000004,-29,18.335,11.665
581,634,603,567,-2.56,-25,17.56,12.44
595,655,616,580,-2.181,-21,17.181,12.818999999999999
616,675,633,597,-2.6020000000000003,-21,17.602,12.398
635,696,650,614,-1.8190000000000004,-17,16.819,13.181
657,716,667,631,-1.8339999999999999,-15,16.834,13.166
671,732,681,646,-1.245,-11,16.245,13.754999999999999
684,746,695,658,-1.455,-10,16.455,13.545
705,768,713,678,-1.565,-10,16.565,13.435
723,786,730,695,-1.374,-9,16.374,13.626
737,802,747,710,-1.282,-8,16.282,13.718
748,815,755,721,-1.3900000000000001,-8,16.39,13.61
759,829,766,731,-1.197,-7,16.197,13.803
768,841,776,740,-1.5050000000000001,-8,16.505,13.495
783,857,791,754,-1.212,-7,16.212,13.788
802,877,810,771,-1.319,-7,16.319,13.681000000000001
816,894,826,785,-1.929,-10,16.929,13.071
834,914,842,801,-1.8400000000000003,-11,16.84,13.16
843,924,852,809,-1.349,-9,16.349,13.651
854,936,863,818,-1.357,-8,16.357,13.643
866,948,873,829,-1.465,-8,16.465,13.535
880,961,886,840,-1.272,-7,16.272,13.728
892,974,899,852,-1.379,-7,16.379,13.621
904,988,910,863,-1.3860000000000001,-7,16.386,13.614
923,1006,927,879,-0.9910000000000001,-5,15.991,14.009
939,1022,941,894,-0.794,-3,15.794,14.206
952,1038,954,907,-0.7960000000000002,-2,15.796,14.204
962,1050,965,918,-0.8980000000000001,-2,15.898,14.102
978,1069,983,934,-1.1010000000000002,-3,16.101,13.899
987,1080,993,943,-1.607,-6,16.607,13.393
1000,1095,1006,954,-1.3130000000000002,-6,16.313,13.687
