Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
0,0,0,0,0.0,0,15.0,15.0
0,0,1,0,-0.101,-1,15.101,14.899
4,4,3,2,0.049,0,14.951,15.049
14,14,14,10,0.1,1,14.9,15.1
25,26,28,22,-0.15100000000000002,-1,15.151,14.849
33,35,39,31,-0.254,-3,15.254,14.746
44,46,50,42,-0.359,-5,15.359,14.641
53,56,60,51,-0.36500000000000005,-6,15.365,14.635
62,67,71,59,-0.6240000000000001,-9,15.624,14.376
73,78,83,72,-0.483,-9,15.483,14.517
84,90,95,83,-0.5930000000000001,-10,15.593,14.407
96,101,104,92,-0.351,-8,15.350999999999999,14.649000000000001
105,113,115,102,-0.56,-9,15.56,14.44
122,129,129,116,-0.519,-9,15.519,14.481
135,143,142,128,-0.32600000000000007,-7,15.326,14.674
148,160,159,145,-0.3320000000000001,-6,15.332,14.668
163,177,173,160,-0.893,-11,15.893,14.107
177,193,187,173,-0.5529999999999999,-10,15.553,14.447
190,210,204,189,-0.8150000000000001,-12,15.815,14.185
209,228,223,206,-0.929,-14,15.929,14.071
226,247,239,221,-0.9440000000000001,-15,15.944,14.056
237,258,251,231,-0.808,-14,15.808,14.192
248,270,261,241,-0.8720000000000001,-14,15.872,14.128
259,283,273,251,-0.7849999999999999,-13,15.785,14.215
271,295,284,261,-0.9490000000000001,-14,15.949,14.051
283,310,299,277,-1.014,-15,16.014,13.986
299,326,315,293,-1.08,-16,16.08,13.92
309,336,324,301,-1.046,-16,16.046,13.954
323,349,336,312,-0.8600000000000001,-14,15.86,14.14
339,367,352,326,-0.873,-13,15.873,14.127
357,385,369,344,-0.936,-13,15.936,14.064
375,404,387,360,-0.747,-11,15.747,14.253
395,427,405,378,-0.8580000000000001,-11,15.858,14.142
410,442,421,391,-0.768,-10,15.768,14.232
426,461,439,409,-0.929,-11,15.929,14.071
439,478,454,422,-0.9910000000000001,-12,15.991,14.009
451,493,467,435,-1.357,-16,16.357,13.643
464,508,481,449,-1.0719999999999998,-15,16.072,13.928
476,523,492,461,-1.2380000000000002,-16,16.238,13.762
488,535,504,473,-1.103,-15,16.103,13.897
500,550,517,485,-1.37,-17,16.37,13.629999999999999
508,560,526,494,-1.2870000000000001,-17,16.287,13.713
517,570,534,501,-1.304,-17,16.304,13.696
529,584,546,513,-1.4220000000000002,-18,16.422,13.578
537,594,553,520,-1.289,-17,16.289,13.711
548,605,564,529,-1.356,-17,16.356,13.644
557,618,574,538,-1.272,-16,16.272,13.728
573,634,588,554,-1.338,-16,16.338,13.661999999999999
584,646,597,563,-1.0510000000000002,-13,16.051000000000002,13.949
596,661,608,574,-1.1130000000000002,-12,16.113,13.887
605,673,617,583,-1.074,-11,16.074,13.926
620,689,632,598,-1.236,-12,16.236,13.764
630,699,642,608,-1.198,-12,16.198,13.802
644,711,653,618,-1.008,-10,16.008,13.992
656,723,665,630,-1.017,-9,16.017,13.983
670,737,677,643,-0.773,-6,15.773,14.227
683,750,687,655,-0.828,-5,15.828,14.172
693,762,697,667,-0.681,-3,15.681000000000001,14.318999999999999
706,777,710,679,-0.885,-4,15.885,14.115
721,795,727,696,-0.839,-4,15.839,14.161
733,808,739,708,-0.9440000000000001,-5,15.944,14.056
750,824,755,724,-0.899,-5,15.899000000000001,14.100999999999999
764,839,768,739,-0.904,-5,15.904,14.096
776,852,780,751,-0.808,-4,15.808,14.192
792,867,796,767,-0.8620000000000001,-4,15.862,14.138
803,881,809,777,-0.9670000000000001,-5,15.967,14.033
817,897,823,789,-1.0230000000000001,-6,16.023,13.977
831,913,839,806,-1.08,-7,16.08,13.92
846,930,852,819,-1.1380000000000001,-8,16.138,13.862
857,943,865,830,-1.197,-9,16.197,13.803
868,956,875,841,-0.9540000000000001,-7,15.954,14.046
880,970,886,851,-1.1620000000000001,-8,16.162,13.838
895,986,903,867,-0.918,-6,15.918,14.082
911,1002,916,880,-0.9229999999999999,-5,15.923,14.077
919,1012,925,888,-0.978,-5,15.978,14.022
929,1025,936,899,-1.185,-7,16.185,13.815
939,1039,946,909,-1.092,-7,16.092,13.908
948,1049,953,916,-0.897,-5,15.897,14.103
955,1056,960,922,-0.901,-4,15.901,14.099
963,1065,967,929,-0.9550000000000001,-4,15.955,14.045
974,1078,975,939,-0.858,-3,15.858,14.142
986,1090,986,950,-0.7090000000000001,-1,15.709,14.291
1002,1107,1000,965,-0.608,1,15.608,14.392
