Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
0,1,0,1,0.0,0,15.0,15.0
2,3,3,3,-0.181,-1,15.181,14.819
5,6,6,6,-0.082,-1,15.082,14.918
13,12,12,12,-0.083,-1,15.083,14.917
20,20,19,18,0.278,1,14.722,15.278
25,26,26,23,-0.28300000000000003,-1,15.283,14.717
30,31,31,28,-0.084,-1,15.084,14.916
34,35,35,32,-0.085,-1,15.085,14.915
37,40,40,36,-0.267,-2,15.267,14.733
40,43,43,40,-0.35,-3,15.35,14.65
44,49,50,46,-0.615,-5,15.615,14.385
48,54,55,50,-0.782,-7,15.782,14.218
54,62,63,57,-0.5890000000000001,-7,15.589,14.411
62,72,71,66,-0.958,-9,15.958,14.042
72,81,77,74,-0.4050000000000001,-7,15.405,14.595
78,89,83,79,-0.43100000000000005,-6,15.431000000000001,14.568999999999999
88,101,91,88,-0.537,-6,15.537,14.463
98,112,99,96,5.551115123125783e-17,-3,15.0,15.0
104,119,104,103,0.42100000000000004,1,14.579,15.421
112,128,113,110,-0.34,-1,15.34,14.66
123,140,122,120,0.221,1,14.779,15.221
134,151,132,128,0.022,1,14.978,15.022
141,159,138,135,0.20400000000000001,2,14.796,15.204
145,165,143,139,0.28700000000000003,3,14.713,15.287
152,175,152,147,-0.17200000000000001,1,15.172,14.828
159,181,159,155,-0.333,-1,15.333,14.667
167,191,167,164,-0.134,-1,15.134,14.866
171,195,172,169,-0.135,-1,15.135,14.865
176,202,179,174,-0.317,-2,15.317,14.683
182,209,185,182,-0.581,-4,15.581,14.419
193,219,194,190,-0.022999999999999993,-2,15.023,14.977
201,229,203,199,-0.587,-4,15.587,14.413
207,236,210,205,-0.21,-3,15.21,14.79
217,244,218,212,-0.132,-2,15.132,14.868
224,251,226,221,0.128,0,14.872,15.128
231,258,234,227,-0.434,-2,15.434,14.566
234,262,237,231,-0.5980000000000001,-4,15.598,14.402
239,268,242,235,-0.402,-4,15.402,14.598
245,274,248,242,-0.225,-3,15.225,14.775
253,282,256,250,-0.509,-4,15.509,14.491
264,291,268,259,-0.41300000000000003,-4,15.413,14.587
271,299,278,267,-0.598,-5,15.598,14.402
282,313,289,276,-0.865,-7,15.865,14.135
290,323,299,284,-0.853,-8,15.853,14.147
299,333,309,293,-0.761,-8,15.761,14.239
306,341,317,300,-1.312,-11,16.312,13.688
312,349,323,305,-1.0230000000000001,-11,16.023,13.977
319,356,329,311,-1.034,-11,16.034,13.966
326,363,337,318,-0.8640000000000001,-10,15.864,14.136
335,372,343,326,-0.793,-9,15.793,14.207
346,385,355,338,-0.9019999999999999,-9,15.902,14.098
354,396,362,346,-0.911,-9,15.911,14.089
363,404,371,355,-0.739,-8,15.739,14.261
373,412,381,364,-1.209,-10,16.209,13.791
383,422,391,374,-0.657,-8,15.657,14.343
389,430,399,384,-1.227,-10,16.227,13.773
395,437,406,390,-1.2180000000000002,-11,16.218,13.782
403,446,414,397,-1.4909999999999999,-13,16.491,13.509
410,456,423,405,-0.942,-11,15.942,14.058
416,463,428,411,-1.515,-13,16.515,13.485
423,470,436,418,-1.1469999999999998,-12,16.147,13.853
434,481,445,427,-1.4400000000000002,-13,16.44,13.56
441,488,450,432,-0.81,-10,15.81,14.19
451,498,458,440,-0.577,-7,15.577,14.423
462,509,468,448,-0.703,-6,15.703,14.297
469,516,475,453,-0.628,-5,15.628,14.372
477,526,484,462,-0.914,-6,15.914,14.086
486,535,492,471,-0.6390000000000001,-5,15.639,14.361
495,543,501,479,-1.106,-7,16.106,13.894
500,550,507,486,-0.913,-7,15.913,14.087
506,559,514,493,-0.92,-7,15.92,14.08
514,569,523,501,-0.927,-7,15.927,14.073
523,579,531,510,-1.1150000000000002,-8,16.115000000000002,13.885
535,590,539,520,-0.661,-6,15.661,14.339
543,598,546,529,-0.5050000000000001,-4,15.505,14.495
549,606,553,535,-0.528,-3,15.528,14.472
557,615,562,545,-0.8119999999999999,-4,15.812,14.188
570,628,575,559,-1.078,-6,16.078,13.922
578,637,585,566,-0.7030000000000001,-5,15.703,14.297
583,644,591,571,-1.3510000000000002,-8,16.351,13.649
588,650,597,576,-1.24,-9,16.24,13.76
598,660,606,585,-1.33,-10,16.33,13.67
606,667,614,593,-0.6970000000000001,-7,15.697,14.303
614,676,622,601,-1.185,-8,16.185,13.815
623,686,628,608,-0.912,-7,15.912,14.088
635,699,640,622,-0.838,-6,15.838,14.162
645,708,649,629,-1.1250000000000002,-7,16.125,13.875
654,719,657,638,-0.30799999999999994,-3,15.308,14.692
661,726,664,644,-0.7110000000000001,-3,15.711,14.289
667,731,669,649,-0.533,-2,15.533,14.467
674,740,677,657,-0.816,-3,15.816,14.184
680,746,682,662,-0.7190000000000001,-3,15.719,14.281
686,751,689,668,-0.9029999999999999,-4,15.903,14.097
690,756,695,674,-0.8069999999999999,-4,15.807,14.193
698,764,702,681,-0.992,-5,15.992,14.008
703,770,708,685,-0.897,-5,15.897,14.103
708,775,711,689,-0.721,-4,15.721,14.279
719,783,719,696,-0.463,-2,15.463,14.537
724,789,724,700,-0.12199999999999994,1,15.122,14.878
730,793,728,704,-0.421,1,15.421,14.579
738,800,736,711,-0.23899999999999996,2,15.239,14.761
745,810,744,721,-0.33699999999999997,2,15.337,14.663
751,817,750,729,-0.516,1,15.516,14.484
758,823,758,734,-0.7769999999999999,-1,15.777,14.223
764,827,763,738,-0.397,0,15.397,14.603
767,832,768,744,-0.6779999999999999,-1,15.678,14.322
773,839,775,750,-0.579,-1,15.579,14.421
781,848,784,759,-1.123,-4,16.123,13.877
789,859,792,767,-0.465,-2,15.465,14.535
796,866,797,773,-0.667,-2,15.667,14.333
801,872,801,776,-0.307,0,15.307,14.693
810,882,809,782,-0.14499999999999996,2,15.145,14.855
820,892,816,789,-0.34299999999999997,2,15.343,14.657
828,902,823,797,0.383,6,14.617,15.383
835,909,829,806,-0.01100000000000001,6,15.011,14.989
845,920,841,817,-0.0050000000000000044,6,15.005,14.995
854,928,850,825,-0.542,3,15.542,14.458
859,936,858,832,-0.23900000000000005,3,15.239,14.761
868,947,868,844,-0.7790000000000001,0,15.779,14.221
881,961,883,860,-1.022,-3,16.022,13.978
888,970,890,866,-0.544,-2,15.544,14.456
894,977,897,873,-0.827,-3,15.827,14.173
905,989,907,883,-0.73,-3,15.73,14.27
915,998,914,891,-0.18999999999999995,0,15.19,14.81
924,1008,922,900,-0.12799999999999995,2,15.128,14.872
935,1018,930,907,0.03600000000000003,4,14.964,15.036
944,1027,938,914,0.20199999999999996,6,14.798,15.202
954,1035,945,921,0.18900000000000003,7,14.811,15.189
961,1043,951,926,0.639,10,14.361,15.639
966,1049,958,931,0.34900000000000003,10,14.651,15.349
979,1061,969,942,0.17799999999999996,9,14.822,15.178
989,1070,978,951,0.649,11,14.350999999999999,15.649000000000001
994,1076,983,957,0.279,10,14.721,15.279
1001,1084,993,964,0.20799999999999993,9,14.792,15.208
