Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
0,0,0,0,0.0,0,15.0,15.0
0,0,0,0,0.0,0,15.0,15.0
2,2,1,1,1.004,1,13.996,16.004
5,6,3,3,1.512,2,13.488,16.512
7,8,4,4,2.024,3,12.975999999999999,17.024
10,11,5,6,2.54,4,12.46,17.54
12,13,7,7,3.06,5,11.94,18.06
15,15,10,10,2.58,5,12.42,17.58
17,18,12,12,2.6,5,12.4,17.6
20,21,15,16,2.62,5,12.379999999999999,17.62
25,26,19,20,4.648,7,10.352,19.648
29,31,25,27,1.6680000000000001,5,13.332,16.668
34,36,32,36,-0.32400000000000007,2,15.324,14.676
37,39,38,42,-0.8240000000000001,0,15.824,14.176
40,43,45,48,-1.8319999999999999,-2,16.832,13.168
45,48,50,52,-4.856,-6,19.856,10.144
51,53,54,57,-1.876,-5,16.876,13.124
59,63,60,63,0.616,-2,14.384,15.616
69,74,67,70,1.116,0,13.884,16.116
75,80,73,76,2.124,2,12.876,17.124
83,87,80,83,2.136,3,12.864,17.136
87,92,84,87,1.648,3,13.352,16.648
96,105,92,96,2.664,4,12.336,17.664
104,115,102,105,2.18,4,12.82,17.18
112,123,111,114,0.18799999999999994,2,14.812,15.188
124,134,121,123,1.196,2,13.804,16.196
134,143,131,132,1.204,2,13.796,16.204
141,151,139,139,2.216,3,12.783999999999999,17.216
149,157,146,147,0.724,2,14.276,15.724
160,166,155,157,2.2359999999999998,3,12.764,17.236
168,173,164,165,2.752,4,12.248000000000001,17.752
177,183,176,176,1.264,3,13.736,16.264
185,192,184,184,-1.236,0,16.236,13.764
200,209,199,196,0.264,0,14.736,15.264
209,219,210,204,1.268,1,13.732,16.268
217,230,217,212,-1.236,-1,16.236,13.764
228,243,228,222,-0.24,-1,15.24,14.76
240,254,238,231,1.764,1,13.236,16.764
249,264,246,240,1.772,2,13.228,16.772
260,275,257,251,3.2880000000000003,4,11.712,18.288
270,286,269,262,1.3,3,13.7,16.3
277,294,276,270,-1.2,0,16.2,13.8
287,309,288,281,0.3,0,14.7,15.3
300,324,302,296,-1.708,-2,16.708,13.292
309,334,309,304,0.28800000000000003,-1,14.712,15.288
321,345,319,314,1.792,1,13.208,16.792
332,357,328,326,3.808,4,11.192,18.808
339,364,335,331,1.32,3,13.68,16.32
350,374,346,342,2.836,4,12.164,17.836
363,386,356,351,3.356,5,11.644,18.356
371,394,363,361,4.884,7,10.116,19.884
379,403,372,369,3.912,7,11.088000000000001,18.912
384,408,378,374,3.94,7,11.06,18.94
395,420,390,386,2.964,6,12.036,17.964
405,434,402,398,2.484,5,12.516,17.484
415,445,411,406,3.004,5,11.996,18.004
424,455,425,418,1.016,3,13.984,16.016
435,467,434,429,-0.984,0,15.984,14.016
449,482,449,444,0.516,0,14.484,15.516
458,491,458,454,0.516,0,14.484,15.516
471,504,473,468,0.516,0,14.484,15.516
479,515,484,480,-3.5,-4,18.5,11.5
489,522,492,488,-1.516,-4,16.516,13.484
499,533,500,496,-1.532,-4,16.532,13.468
508,545,511,506,1.464,-1,13.536,16.464
515,553,519,515,-3.052,-4,18.052,11.948
523,561,527,522,-2.572,-5,17.572,12.428
531,570,535,528,-1.088,-4,16.088,13.911999999999999
544,586,549,539,-0.6000000000000001,-3,15.6,14.4
553,597,557,549,-3.12,-5,18.12,11.879999999999999
563,611,566,559,-1.1360000000000001,-4,16.136,13.864
579,627,578,572,0.356,-2,14.644,15.356
589,639,587,583,3.364,2,11.636,18.364
599,650,598,592,2.376,3,12.624,17.376
614,669,612,607,1.888,3,13.112,16.887999999999998
625,678,622,617,0.8959999999999999,2,14.104,15.896
633,688,631,626,1.404,2,13.596,16.404
643,700,643,638,-0.596,0,15.596,14.404
654,715,652,648,-0.6,-1,15.6,14.4
665,727,663,659,1.904,1,13.096,16.904
674,735,671,666,1.912,2,13.088000000000001,16.912
681,742,677,671,2.424,3,12.576,17.424
688,749,684,677,2.94,4,12.06,17.94
699,760,696,688,1.452,3,13.548,16.451999999999998
707,768,704,696,0.96,2,14.04,15.96
713,774,709,702,2.472,3,12.528,17.472
721,782,719,713,1.984,3,13.016,16.984
727,789,727,721,-0.01200000000000001,1,15.012,14.988
735,795,734,728,-0.01200000000000001,0,15.012,14.988
742,801,740,734,2.496,2,12.504,17.496
748,806,745,740,2.508,3,12.492,17.508
758,817,757,753,1.016,2,13.984,16.016
768,829,771,766,-0.484,0,15.484,14.516
780,839,783,779,-3.5,-4,18.5,11.5
792,849,796,790,-1.516,-4,16.516,13.484
800,858,803,798,-0.528,-3,15.528,14.472
809,866,811,808,-1.04,-3,16.04,13.96
819,874,820,816,0.956,-1,14.044,15.956
827,881,826,823,-1.052,-2,16.052,13.948
835,891,835,831,2.452,1,12.548,17.451999999999998
844,899,843,839,-0.04799999999999999,0,15.048,14.952
851,908,852,848,-0.552,-1,15.552,14.448
859,920,864,858,-1.06,-2,16.06,13.94
867,929,873,868,-2.576,-4,17.576,12.424
872,934,877,872,-1.592,-4,16.592,13.408
884,947,887,882,-2.612,-5,17.612000000000002,12.388
892,956,894,890,0.88,-2,14.12,15.88
900,968,900,899,0.376,-1,14.624,15.376
907,977,907,905,-1.1320000000000001,-2,16.132,13.868
915,985,914,912,1.3679999999999999,0,13.632,16.368
924,993,922,919,1.3719999999999999,1,13.628,16.372
935,1005,933,928,0.876,1,14.124,15.876
945,1018,943,940,0.88,1,14.12,15.88
952,1027,952,949,0.884,1,14.116,15.884
958,1034,958,954,-1.12,-1,16.12,13.879999999999999
965,1044,967,961,0.88,0,14.12,15.88
971,1050,973,967,-0.624,-1,15.624,14.376
979,1059,981,975,-0.128,-1,15.128,14.872
984,1064,987,979,-2.14,-3,17.14,12.86
992,1072,994,986,-0.14800000000000002,-2,15.148,14.852
998,1078,1001,993,-0.6559999999999999,-2,15.656,14.344
