Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
0,0,1,0,0.0,0,15.0,15.0
0,1,1,0,-1.008,-1,16.008,13.992
3,2,3,2,0.492,0,14.508,15.492
10,9,11,11,-0.008,0,15.008,14.992
13,12,14,15,-1.016,-1,16.016,13.984
20,17,19,21,0.484,0,14.516,15.484
30,25,27,29,0.992,1,14.008,15.992
35,30,32,34,3.524,4,11.475999999999999,18.524
42,36,38,41,1.048,3,13.952,16.048000000000002
48,42,45,48,2.58,4,12.42,17.58
57,49,52,56,4.128,6,10.872,19.128
67,60,64,66,1.1600000000000001,4,13.84,16.16
74,68,73,75,0.17599999999999993,2,14.824,15.176
83,78,84,85,-0.8240000000000001,0,15.824,14.176
90,87,93,95,-1.8399999999999999,-2,16.84,13.16
95,93,98,101,-0.856,-2,15.856,14.144
102,100,106,107,-1.88,-3,16.88,13.120000000000001
107,106,113,115,-2.412,-4,17.412,12.588000000000001
116,115,125,124,-4.968,-7,19.968,10.032
122,124,131,132,-5.54,-9,20.54,9.46
129,132,138,138,-4.612,-9,19.612000000000002,10.388
135,139,143,144,-3.676,-8,18.676000000000002,11.324
140,143,146,147,-3.232,-7,18.232,11.768
148,151,152,153,-1.7720000000000002,-5,16.772,13.228
159,161,162,163,-0.796,-3,15.796,14.204
168,169,169,169,-1.82,-3,16.82,13.18
174,176,175,175,-0.8360000000000001,-2,15.836,14.164
180,183,180,181,-0.3440000000000001,-1,15.344,14.656
189,194,187,189,2.1719999999999997,2,12.828,17.172
195,201,194,194,0.688,2,14.312,15.688
203,209,201,200,0.704,2,14.296,15.704
210,219,211,208,-0.28800000000000003,1,15.288,14.712
217,228,217,215,-0.788,0,15.788,14.212
223,236,222,221,0.72,1,14.28,15.72
229,242,228,227,0.22799999999999998,1,14.772,15.228
239,254,238,237,0.236,1,14.764,15.236
243,258,243,242,-0.764,0,15.764,14.236
254,267,252,251,0.744,1,14.256,15.744
265,276,261,263,2.268,3,12.732,17.268
270,281,265,266,2.3,4,12.7,17.3
279,287,272,272,3.848,6,11.152000000000001,18.848
284,293,279,278,2.896,6,12.104,17.896
290,302,287,286,0.9279999999999999,4,14.072,15.928
298,310,295,296,-0.05600000000000005,2,15.056000000000001,14.943999999999999
304,317,301,302,0.96,2,14.04,15.96
311,324,308,310,1.984,3,13.016,16.984
322,333,316,317,0.5,2,14.5,15.5
329,340,324,323,4.04,5,10.96,19.04
341,350,337,333,1.572,4,13.428,16.572
347,355,342,337,3.112,5,11.888,18.112000000000002
355,364,352,345,0.6360000000000001,3,14.364,15.636
363,372,360,353,1.66,3,13.34,16.66
372,380,370,360,1.684,3,13.316,16.684
376,385,377,365,-0.30800000000000005,1,15.308,14.692
381,390,383,371,-1.316,-1,16.316,13.684
385,395,387,375,-1.3319999999999999,-2,16.332,13.668
391,403,394,382,-1.8559999999999999,-3,16.856,13.144
397,409,401,389,-1.38,-3,16.38,13.620000000000001
405,417,409,399,-2.412,-4,17.412,12.588000000000001
417,427,418,408,-0.9359999999999999,-3,15.936,14.064
425,435,425,414,0.556,-1,14.443999999999999,15.556000000000001
432,445,434,424,-1.46,-2,16.46,13.54
439,451,440,433,0.03200000000000003,-1,14.968,15.032
448,461,448,443,-0.476,-1,15.475999999999999,14.524000000000001
454,467,454,448,0.524,0,14.475999999999999,15.524000000000001
461,477,462,455,0.024,0,14.976,15.024
467,484,469,461,-0.984,-1,15.984,14.016
474,492,477,468,-0.492,-1,15.492,14.508
479,496,481,473,-2.516,-3,17.516,12.484
487,505,491,482,-1.54,-3,16.54,13.46
499,517,503,495,-2.572,-4,17.572,12.428
510,527,512,503,-2.104,-4,17.104,12.896
517,535,518,508,1.896,0,13.104,16.896
528,547,528,518,-0.10400000000000001,0,15.104,14.896
535,555,537,525,-1.112,-1,16.112000000000002,13.888
543,562,543,532,-0.62,-1,15.62,14.38
548,569,550,540,-1.6360000000000001,-2,16.636,13.364
555,578,558,546,-2.16,-3,17.16,12.84
562,584,564,553,-1.684,-3,16.684,13.316
573,594,574,562,0.30800000000000005,-1,14.692,15.308
581,602,582,570,-0.7,-1,15.7,14.3
589,611,590,582,-1.716,-2,16.716,13.284
599,621,598,590,-0.22399999999999998,-1,15.224,14.776
604,627,603,595,1.284,1,13.716,16.284
614,638,613,603,1.3,2,13.7,16.3
625,649,622,610,-0.192,1,15.192,14.808
631,658,630,616,2.332,3,12.668,17.332
638,666,638,625,-0.66,1,15.66,14.34
646,675,648,634,-1.6680000000000001,-1,16.668,13.332
651,684,654,639,-1.684,-2,16.684,13.316
658,690,661,645,-2.208,-3,17.208,12.792
661,692,664,647,-1.732,-3,16.732,13.268
669,702,673,656,-2.7640000000000002,-4,17.764,12.236
678,714,682,664,-4.311999999999999,-6,19.311999999999998,10.688
686,722,691,671,-1.3439999999999999,-4,16.344,13.656
696,732,698,679,-2.376,-4,17.376,12.624
701,741,704,685,-0.3919999999999999,-2,15.392,14.608
710,751,711,692,-1.408,-2,16.408,13.592
718,760,719,700,-0.41600000000000004,-1,15.416,14.584
724,768,727,706,-1.932,-2,16.932,13.068
730,776,732,712,-1.448,-2,16.448,13.552
735,781,736,716,-0.45599999999999996,-1,15.456,14.544
741,787,740,720,0.043999999999999984,0,14.956,15.044
747,794,745,726,1.56,2,13.44,16.56
756,803,753,733,-0.432,1,15.432,14.568
761,808,759,738,1.084,2,13.916,16.084
769,817,767,746,0.6,2,14.4,15.6
777,827,776,755,0.616,2,14.384,15.616
783,833,783,762,-0.376,1,15.376,14.624
790,841,792,771,-1.884,-1,16.884,13.116
795,846,797,775,-1.9,-2,16.9,13.1
799,850,801,779,-0.40800000000000003,-1,15.408,14.592
808,859,809,787,-1.924,-2,16.924,13.076
818,868,817,794,1.584,1,13.416,16.584
826,875,825,802,0.09199999999999997,1,14.908,15.092
836,887,836,813,-0.908,0,15.908,14.092
846,897,848,826,-0.40800000000000003,0,15.408,14.592
854,904,855,834,-2.424,-2,17.424,12.576
863,915,868,845,-3.456,-4,18.456,11.544
870,923,876,852,-4.504,-6,19.503999999999998,10.496
877,932,883,861,-3.552,-6,18.552,11.448
886,942,890,868,-2.592,-5,17.592,12.408
894,951,897,877,-1.116,-3,16.116,13.884
904,960,905,882,-1.1320000000000001,-2,16.132,13.868
914,971,913,892,-0.6400000000000001,-1,15.64,14.36
920,979,920,898,0.868,1,14.132,15.868
928,986,928,905,-1.1320000000000001,0,16.132,13.868
936,996,936,912,-0.632,0,15.632,14.368
943,1002,943,921,-0.632,0,15.632,14.368
949,1008,948,928,-0.632,0,15.632,14.368
955,1016,956,934,-0.632,0,15.632,14.368
961,1022,961,939,-0.632,0,15.632,14.368
967,1030,970,948,-1.6400000000000001,-1,16.64,13.36
972,1035,976,953,-3.164,-3,18.164,11.836
983,1046,985,963,-4.204,-5,19.204,10.796
988,1052,990,968,-1.2279999999999998,-3,16.228,13.772
994,1060,996,974,-0.236,-1,15.236,14.764
1002,1071,1007,985,-3.26,-3,18.259999999999998,11.74
