Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
3,2,2,3,0.0,0,15.0,15.0
11,10,9,9,0.0,0,15.0,15.0
22,19,19,19,2.1,2,12.9,17.1
27,25,26,27,1.2,2,13.8,16.2
38,36,37,37,-0.8,0,15.8,14.2
45,42,43,44,0.2,0,14.8,15.2
53,52,51,52,3.35,3,11.65,18.35
64,65,63,64,0.95,2,14.05,15.95
72,73,70,73,-0.55,0,15.55,14.45
78,82,75,79,2.55,2,12.45,17.55
84,88,81,88,1.65,2,13.35,16.65
94,97,90,98,2.8,3,12.2,17.8
101,104,98,106,2.45,3,12.55,17.45
113,114,108,118,2.6,3,12.4,17.6
120,123,120,130,2.75,3,12.25,17.75
128,130,131,140,-2.3499999999999996,-2,17.35,12.65
134,136,140,148,-2.05,-4,17.05,12.95
140,142,148,156,-5.45,-8,20.45,9.55
145,149,156,163,-5.95,-10,20.95,9.05
150,156,162,168,-7.55,-12,22.55,7.45
160,166,170,177,-6.1,-11,21.1,8.9
170,177,177,185,-2.95,-7,17.95,12.05
178,185,183,188,-4.25,-6,19.25,10.75
183,193,187,192,-4.0,-5,19.0,11.0
192,203,191,196,-0.5500000000000003,-1,15.55,14.45
202,213,199,202,1.5999999999999999,3,13.4,16.6
212,225,205,208,2.9,6,12.1,17.9
221,233,211,213,4.85,9,10.15,19.85
228,242,220,223,3.8,9,11.2,18.8
232,246,227,228,0.04999999999999982,5,14.95,15.05
237,252,233,234,0.19999999999999996,3,14.8,15.2
248,261,243,245,2.4,4,12.6,17.4
256,270,254,253,1.05,3,13.95,16.05
264,279,263,262,-0.4,1,15.4,14.6
270,287,271,272,-0.4,0,15.4,14.6
278,293,281,281,-2.0,-2,17.0,13.0
288,303,293,291,-3.2,-4,18.2,11.8
295,311,301,299,-4.5,-6,19.5,10.5
300,316,307,305,-3.8,-6,18.8,11.2
305,322,311,309,-4.1,-6,19.1,10.9
316,332,319,319,-2.3,-4,17.3,12.7
325,340,327,326,-2.45,-3,17.45,12.55
331,347,333,332,-2.05,-2,17.05,12.95
341,357,343,341,-2.6500000000000004,-2,17.65,12.35
346,364,352,349,-4.85,-4,19.85,10.15
356,375,361,359,-6.15,-6,21.15,8.85
367,385,374,369,-5.45,-6,20.45,9.55
376,394,381,378,-4.7,-5,19.7,10.3
389,407,391,390,-6.5,-6,21.5,8.5
396,415,397,395,-1.0500000000000003,-1,16.05,13.95
407,425,404,401,-1.5,1,16.5,13.5
413,430,408,406,1.75,5,13.25,16.75
420,439,416,414,0.0,5,15.0,15.0
427,447,422,420,0.25,5,14.75,15.25
