Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
2,2,2,2,1.1,1,13.9,16.1
12,13,12,10,-0.4,0,15.4,14.6
20,21,22,18,-1.0,-1,16.0,14.0
28,28,31,26,-3.9,-4,18.9,11.1
35,37,40,34,-1.7000000000000002,-3,16.7,13.3
47,49,49,45,-3.6,-4,18.6,11.4
57,59,58,53,0.8999999999999999,0,14.1,15.9
68,72,67,62,-1.1,0,16.1,13.9
74,81,73,68,0.0,1,15.0,15.0
85,92,84,76,-0.4,1,15.4,14.6
91,101,90,83,-0.30000000000000004,1,15.3,14.7
96,106,95,88,-0.20000000000000007,1,15.2,14.8
104,119,106,101,-1.2000000000000002,0,16.2,13.8
113,127,113,107,-1.8,-1,16.8,13.2
120,137,120,116,-0.30000000000000004,0,15.3,14.7
128,145,126,122,0.29999999999999993,1,14.7,15.3
135,150,132,127,2.1,3,12.9,17.1
140,155,136,131,1.4,3,13.6,16.4
146,161,142,135,3.9,5,11.1,18.9
155,169,150,143,1.2000000000000002,3,13.8,16.2
164,178,158,153,4.7,5,10.3,19.7
170,183,166,159,4.2,5,10.8,19.2
178,189,173,166,3.5999999999999996,4,11.4,18.6
186,196,184,177,3.4000000000000004,3,11.6,18.4
192,203,193,185,2.0,1,13.0,17.0
199,211,203,195,-1.2999999999999998,-3,16.3,13.7
206,218,211,203,-0.7,-4,15.7,14.3
210,222,216,207,-2.8,-6,17.8,12.2
220,229,226,218,-3.5,-7,18.5,11.5
229,238,236,226,-3.7,-7,18.7,11.3
237,246,245,235,-4.4,-7,19.4,10.6
244,255,252,243,-7.3,-9,22.3,7.7
251,262,258,250,-6.1,-8,21.1,8.9
260,275,266,260,-6.300000000000001,-7,21.3,8.7
270,287,274,266,-6.4,-6,21.4,8.6
278,296,280,272,-4.2,-3,19.2,10.8
287,307,287,278,-2.7,0,17.7,12.3
299,319,292,284,0.19999999999999973,4,14.8,15.2
311,329,299,290,6.3,11,8.7,21.3
322,338,306,298,7.2,14,7.8,22.2
332,349,317,306,9.3,16,5.699999999999999,24.3
336,354,321,311,8.8,15,6.199999999999999,23.8
