Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
0,1,0,0,0.0,0,15.0,15.0
6,8,5,7,0.0,0,15.0,15.0
16,20,15,18,1.01,1,13.99,16.01
29,33,31,33,-0.49,0,15.49,14.51
35,42,38,41,-2.01,-2,17.009999999999998,12.99
46,53,49,50,-3.05,-4,18.05,11.95
52,62,57,57,-1.08,-3,16.08,13.92
61,74,67,67,-1.61,-3,16.61,13.39
68,81,73,73,-4.67,-6,19.67,10.33
78,90,83,83,-3.23,-6,18.23,11.77
86,100,93,92,-2.2800000000000002,-5,17.28,12.719999999999999
94,107,100,98,-3.84,-6,18.84,11.16
104,120,109,108,-2.39,-5,17.39,12.61
116,129,117,116,-1.9300000000000002,-4,16.93,13.07
126,137,123,123,1.57,0,13.43,16.57
135,144,130,130,3.61,4,11.39,18.61
143,155,140,139,2.66,5,12.34,17.66
151,165,148,147,0.18999999999999995,3,14.81,15.19
157,172,155,154,1.22,3,13.78,16.22
161,176,160,157,-1.78,0,16.78,13.22
167,184,167,163,-0.28,0,15.28,14.72
175,194,174,170,0.73,1,14.27,15.73
180,199,178,175,1.25,2,13.75,16.25
188,209,187,184,-0.24,1,15.24,14.76
195,219,196,191,0.27,1,14.73,15.27
203,227,205,199,-1.74,-1,16.74,13.26
210,235,214,206,-2.77,-3,17.77,12.23
215,240,219,212,-2.81,-4,17.81,12.19
222,247,226,217,-3.36,-5,18.36,11.64
227,256,234,223,-2.91,-5,17.91,12.09
236,264,241,230,-3.97,-6,18.97,11.03
240,268,245,234,-1.5099999999999998,-4,16.509999999999998,13.49
249,277,253,242,-3.56,-5,18.56,11.44
258,284,260,250,-1.0899999999999999,-3,16.09,13.91
265,293,267,258,-1.1099999999999999,-2,16.11,13.89
270,298,272,264,-1.63,-2,16.63,13.370000000000001
281,310,280,272,-0.6400000000000001,-1,15.64,14.36
289,318,287,277,-0.14,0,15.14,14.86
297,325,294,282,2.39,3,12.61,17.39
307,333,302,289,1.93,4,13.07,16.93
315,341,309,295,4.5,7,10.5,19.5
323,348,315,301,3.07,7,11.93,18.07
332,358,324,310,4.15,8,10.85,19.15
341,368,336,320,1.71,6,13.29,16.71
350,376,346,331,1.7599999999999998,5,13.24,16.759999999999998
358,384,355,341,0.29000000000000004,3,14.71,15.29
367,394,363,352,2.33,4,12.67,17.33
378,407,374,363,1.87,4,13.129999999999999,16.87
384,413,383,373,-0.10999999999999999,2,15.11,14.89
389,420,389,380,-1.11,0,16.11,13.89
396,427,397,388,-1.12,-1,16.12,13.879999999999999
403,432,403,393,-1.6400000000000001,-2,16.64,13.36
412,440,412,405,1.87,1,13.129999999999999,16.87
421,449,425,414,-3.66,-3,18.66,11.34
426,454,431,421,-4.720000000000001,-6,19.72,10.28
438,464,442,431,-3.2800000000000002,-6,18.28,11.719999999999999
444,470,447,436,-0.31000000000000005,-3,15.31,14.69
451,478,454,442,-2.85,-4,17.85,12.15
460,489,464,453,-3.4,-5,18.4,11.6
470,497,473,461,-3.96,-6,18.96,11.04
479,506,484,470,-1.5,-4,16.5,13.5
